# TimeStamp   : 2020-03-04 10:26:11
# Strategy    : MasterCode
# Symbol      : NG
# TimeFrame   : M10
# Date Range  : 2007-07-01 --> 2019-12-30
#
#  Ntrades,     NetPL,  AvgTrade, PftFactor,    NP/MDD, Expectancy,   Z-score, Side_switch,    MyStop, POI_switch, Distance_switch, FilterT_switch, Filter1L_switch, Filter1S_switch, fractN_long, fractN_short,   epsilon, 
     1429, 1901470.00,   1330.63,      1.37,     10.27,      0.17,      4.16,           3,           0,           2,           2,          10,          25,          24,           4,           1,           0, 
     1389, 1853230.00,   1334.22,      1.38,      9.66,      0.17,      4.12,           3,           0,           2,           2,          10,          25,          24,           4,           3,           0, 
     1418, 1860190.00,   1311.84,      1.37,     10.00,      0.17,      4.09,           3,           0,           2,           2,          10,          25,          24,           4,           2,           0, 
     1371, 1777040.00,   1296.16,      1.36,     12.83,      0.17,      3.96,           3,           0,           2,           2,          10,          14,          24,           4,           2,           0, 
      758, 1233100.00,   1626.78,      1.50,      9.75,      0.21,      3.93,           3,           0,           2,           2,          10,          25,          42,           4,           4,           0, 
     1286, 1681370.00,   1307.44,      1.37,      8.26,      0.17,      3.86,           3,           0,           2,           2,          10,          15,          24,           4,           1,           0, 
      263, 665980.00,   2532.24,      1.99,      9.76,      0.41,      3.81,           3,           0,           3,           1,          10,          25,          43,           3,           3,           0, 
     1277, 1600470.00,   1253.30,      1.34,      9.28,      0.16,      3.76,           3,           0,           2,           2,          10,          25,          13,           2,           2,           0, 
     1261, 1580930.00,   1253.71,      1.34,      9.10,      0.16,      3.75,           3,           0,           2,           2,          10,          25,          13,           2,           3,           0, 
     1676, 1847090.00,   1102.08,      1.29,      8.29,      0.13,      3.66,           3,           0,           2,           2,          10,          25,           8,           3,           2,           0, 
     1637, 1829600.00,   1117.65,      1.29,      8.24,      0.13,      3.66,           3,           0,           2,           2,          10,          25,          22,           3,           3,           0, 
     1612, 1727490.00,   1071.64,      1.29,      8.80,      0.13,      3.58,           3,           0,           2,           2,          10,          15,           0,           2,           4,           0, 
     1675, 1798420.00,   1073.68,      1.28,      8.67,      0.13,      3.56,           3,           0,           2,           2,          10,          25,          22,           4,           1,           0, 
      238, 571440.00,   2401.01,      1.95,      8.59,      0.40,      3.55,           3,           0,           3,           1,          10,          25,          43,           3,           4,           0, 
      757, 1123040.00,   1483.54,      1.48,      9.10,      0.21,      3.52,           3,           0,           6,           1,          10,          15,          24,           3,           1,           0, 
