# TimeStamp   : 2020-02-23 21:10:45
# Strategy    : MasterCode
# Symbol      : NG
# TimeFrame   : M10
# Date Range  : 2010-01-03 --> 2019-12-30
#
#<Strategies/MasterCode.xml>
# <?xml version='1.0' encoding='UTF-8'?>
# <!--
# -->
# <Inputs>
#     <Input>
#         <Name>Side_switch</Name>        <!-- 1..3:1 (1=L,2=S,3=both) -->
#         <Value>2</Value>
#     </Input>
#     <Input>
#         <Name>MyStop</Name>             <!--  Stop-Loss in USD per contract -->
#         <Value>0</Value>
#     </Input>
#     <OptRange>
#         <Name>POI_switch</Name>         <!-- 1..8:1 -->
#         <Start>1</Start>
#         <Stop>8</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Distance_switch</Name>    <!-- 1..2:1 -->
#         <Start>1</Start>
#         <Stop>2</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <Input>
#         <Name>FilterT_switch</Name>     <!-- 0..11:1 -->
#         <Value>0</Value>
#     </Input>
#     <Input>
#         <Name>Filter1L_switch</Name>    <!-- 0..50:1 -->
#         <Value>0</Value>
#     </Input>
#     <OptRange>
#         <Name>Filter1S_switch</Name>    <!-- 0..50:1 -->
#         <Start>0</Start>
#         <Stop>50</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>fractN</Name>             <!-- 1..5:1 -->
#         <Start>1</Start>
#         <Stop>5</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <Input>
#         <Name>epsilon</Name>            <!-- always 0 (used in stability test) -->
#         <Value>0</Value>
#     </Input>
# </Inputs>
#</Strategies/MasterCode.xml>
#
#  Ntrades,     NetPL,  AvgTrade, PftFactor,    NP/MDD, Expectancy,   Z-score, Side_switch,    MyStop, POI_switch, Distance_switch, FilterT_switch, Filter1L_switch, Filter1S_switch,    fractN,   epsilon,
       34,   4660.00,    137.06,      2.49,      8.47,      0.66,      2.03,           2,           0,           3,           1,           0,           0,          25,           4,           0,
      126,  11070.00,     87.86,      1.66,      5.17,      0.30,      2.01,           2,           0,           4,           1,           0,           0,           8,           3,           0,
       92,  15550.00,    169.02,      1.75,      3.60,      0.33,      2.00,           2,           0,           1,           1,           0,           0,          38,           1,           0,
       56,  10010.00,    178.75,      2.08,      3.14,      0.35,      2.00,           2,           0,           6,           2,           0,           0,          38,           5,           0,
      104,   9730.00,     93.56,      1.82,      4.96,      0.34,      2.00,           2,           0,           4,           1,           0,           0,          17,           3,           0,
       43,   6490.00,    150.93,      2.12,      5.32,      0.49,      1.99,           2,           0,           8,           1,           0,           0,          35,           3,           0,
       47,   5740.00,    122.13,      2.33,      5.52,      0.59,      1.99,           2,           0,           6,           1,           0,           0,          25,           4,           0,
       31,   5160.00,    166.45,      2.74,      3.51,      0.73,      1.99,           2,           0,           6,           1,           0,           0,          35,           4,           0,
       67,   8350.00,    124.63,      2.01,      4.74,      0.45,      1.99,           2,           0,           4,           2,           0,           0,          30,           1,           0,
       50,   6580.00,    131.60,      2.04,      4.51,      0.50,      1.98,           2,           0,           8,           1,           0,           0,          33,           3,           0,
      352,  32790.00,     93.15,      1.38,      4.44,      0.16,      1.98,           2,           0,           3,           2,           0,           0,          20,           5,           0,
      105,  17440.00,    166.10,      1.67,      3.37,      0.28,      1.96,           2,           0,           1,           2,           0,           0,          38,           4,           0,
      131,  12130.00,     92.60,      1.64,      3.72,      0.30,      1.96,           2,           0,           4,           1,           0,           0,           6,           3,           0,
       57,   7070.00,    124.04,      2.15,      4.88,      0.61,      1.96,           2,           0,           5,           1,           0,           0,          50,           4,           0,
      917,  51290.00,     55.93,      1.20,      2.90,      0.10,      1.95,           2,           0,           1,           2,           0,           0,           1,           2,           0,
      571,  41950.00,     73.47,      1.27,      3.16,      0.12,      1.95,           2,           0,           3,           2,           0,           0,          24,           2,           0,
      132,  12080.00,     91.52,      1.63,      3.71,      0.30,      1.94,           2,           0,           4,           1,           0,           0,           2,           3,           0,
      592,  43930.00,     74.21,      1.26,      2.75,      0.12,      1.94,           2,           0,           2,           2,           0,           0,          24,           3,           0,
       45,   4530.00,    100.67,      2.10,      3.97,      0.47,      1.94,           2,           0,           8,           1,           0,           0,          17,           3,           0,
       68,  14510.00,    213.38,      2.05,      4.92,      0.40,      1.93,           2,           0,           6,           1,           0,           0,          18,           1,           0,
      403,  36320.00,     90.12,      1.33,      4.10,      0.15,      1.93,           2,           0,           1,           2,           0,           0,          20,           4,           0,
       60,   6780.00,    113.00,      1.90,      4.64,      0.45,      1.93,           2,           0,           8,           1,           0,           0,           2,           3,           0,
      119,  10210.00,     85.80,      1.62,      5.08,      0.31,      1.92,           2,           0,           7,           1,           0,           0,           9,           3,           0,
       54,  10330.00,    191.30,      2.11,      3.47,      0.41,      1.92,           2,           0,           6,           1,           0,           0,          18,           2,           0,
      102,  16000.00,    156.86,      1.65,      3.33,      0.26,      1.92,           2,           0,           3,           2,           0,           0,          38,           2,           0,
      229,  25930.00,    113.23,      1.40,      4.70,      0.18,      1.92,           2,           0,           1,           2,           0,           0,           1,           5,           0,
      100,  15420.00,    154.20,      1.65,      2.98,      0.29,      1.91,           2,           0,           3,           2,           0,           0,          38,           3,           0,
       57,   7970.00,    139.82,      2.56,     10.49,      0.66,      1.91,           2,           0,           1,           1,           0,           0,           8,           4,           0,
