# TimeStamp   : 2020-02-22 08:16:19
# Strategy    : MasterCode
# Symbol      : NG
# TimeFrame   : M10
# Date Range  : 2007-07-01 --> 2019-12-30
#
#  Ntrades,     NetPL,  AvgTrade, PftFactor,    NP/MDD, Expectancy,   Z-score, Side_switch,    MyStop, POI_switch, Distance_switch, FilterT_switch, Filter1L_switch, Filter1S_switch,    fractN,   epsilon, 
     1312, 183620.00,    139.95,      1.36,     10.34,      0.16,      3.69,           3,           0,           1,           2,           8,          14,          24,           2,           0, 
     1142, 143790.00,    125.91,      1.40,      8.88,      0.18,      3.69,           3,           0,           2,           2,          10,          26,          34,           2,           0, 
     1370, 150500.00,    109.85,      1.36,      9.20,      0.17,      3.69,           3,           0,           1,           2,          10,          25,          24,           3,           0, 
     1260, 149350.00,    118.53,      1.37,     10.26,      0.17,      3.68,           3,           0,           2,           2,          10,          25,          31,           2,           0, 
     1160, 132520.00,    114.24,      1.39,      9.25,      0.18,      3.68,           3,           0,           2,           1,          10,          14,           3,           1,           0, 
     1719, 166500.00,     96.86,      1.31,     12.31,      0.14,      3.68,           3,           0,           2,           2,          10,          14,          22,           3,           0, 
     1260, 149350.00,    118.53,      1.37,     10.26,      0.17,      3.68,           3,           0,           2,           2,          10,          25,          31,           2,           0, 
     1155, 141930.00,    122.88,      1.39,     10.20,      0.18,      3.67,           3,           0,           2,           2,          10,          25,          34,           2,           0, 
      769, 108020.00,    140.47,      1.52,      9.53,      0.25,      3.67,           3,           0,           3,           2,          10,          32,          24,           5,           0, 
      882, 111070.00,    125.93,      1.44,      9.47,      0.20,      3.66,           3,           0,           3,           2,          10,          25,          12,           1,           0, 
     1135, 139750.00,    123.13,      1.39,     10.94,      0.18,      3.65,           3,           0,           2,           2,          10,          26,          37,           1,           0, 
     1253, 160450.00,    128.05,      1.36,      8.22,      0.17,      3.65,           3,           0,           2,           1,           1,          26,          24,           1,           0, 
     1098, 119060.00,    108.43,      1.40,      8.83,      0.19,      3.65,           3,           0,           1,           1,          10,          10,          24,           2,           0, 
     1565, 161430.00,    103.15,      1.32,      9.99,      0.15,      3.64,           3,           0,           2,           2,          10,          26,          27,           1,           0, 
     1674, 208090.00,    124.31,      1.30,      9.61,      0.14,      3.63,           3,           0,           2,           2,           1,          26,          24,           3,           0, 
     1267, 175460.00,    138.48,      1.35,     12.57,      0.16,      3.63,           3,           0,           2,           2,           8,          32,          24,           1,           0, 
     1674, 208090.00,    124.31,      1.30,      9.61,      0.14,      3.63,           3,           0,           2,           2,           1,          26,          24,           3,           0, 
      899, 125400.00,    139.49,      1.46,     10.48,      0.21,      3.63,           3,           0,           2,           2,          10,          46,          24,           3,           0, 
     1674, 208090.00,    124.31,      1.30,      9.61,      0.14,      3.63,           3,           0,           2,           2,           1,          26,          24,           3,           0, 
      987, 160380.00,    162.49,      1.41,      9.89,      0.19,      3.62,           3,           0,           1,           2,           8,          14,          31,           5,           0, 
     1446, 153560.00,    106.20,      1.33,     10.81,      0.16,      3.61,           3,           0,           2,           2,          10,          26,           3,           1,           0, 
     1337, 149610.00,    111.90,      1.35,      8.62,      0.16,      3.61,           3,           0,           2,           1,           9,          25,          24,           1,           0, 
     1309, 146020.00,    111.55,      1.36,     10.61,      0.17,      3.61,           3,           0,           2,           2,          10,          28,          24,           3,           0, 
     1675, 167260.00,     99.86,      1.31,      8.85,      0.14,      3.60,           3,           0,           2,           2,          10,          26,           0,           2,           0, 
     1322, 143700.00,    108.70,      1.36,      8.63,      0.16,      3.60,           3,           0,           2,           2,          10,          26,          17,           2,           0, 
      965, 139010.00,    144.05,      1.41,     11.87,      0.19,      3.60,           3,           0,           2,           1,           8,          26,          11,           1,           0, 
     1610, 162170.00,    100.73,      1.32,     12.43,      0.15,      3.60,           3,           0,           1,           2,          10,          26,           6,           1,           0, 
     1687, 166260.00,     98.55,      1.31,     11.36,      0.14,      3.59,           3,           0,           2,           2,          10,          26,           8,           1,           0, 
     1617, 205910.00,    127.34,      1.30,     13.37,      0.14,      3.59,           3,           0,           2,           2,           1,          26,           5,           1,           0, 
     1725, 206400.00,    119.65,      1.29,      8.69,      0.13,      3.59,           3,           0,           1,           2,           7,          25,          24,           2,           0, 
     1061, 116370.00,    109.68,      1.41,      8.06,      0.18,      3.59,           3,           0,           1,           1,          10,          25,          16,           2,           0, 
     1086, 124030.00,    114.21,      1.39,      9.58,      0.18,      3.59,           3,           0,           1,           2,          10,          25,           1,           1,           0, 
