# TimeStamp   : 2020-02-25 16:38:07
# Strategy    : MasterCode
# Symbol      : NG
# TimeFrame   : M10
# Date Range  : 2007-07-01 --> 2019-12-30
#
#  Ntrades,     NetPL,  AvgTrade, PftFactor,    NP/MDD, Expectancy,   Z-score, Side_switch,    MyStop, POI_switch, Distance_switch, FilterT_switch, Filter1L_switch, Filter1S_switch,    fractN,   epsilon, 
      737, 958230.00,   1300.18,      1.44,      9.13,      0.19,      3.36,           3,           0,           1,           1,          10,           0,           8,           3,           0, 
      718, 925760.00,   1289.36,      1.45,      9.89,      0.19,      3.35,           3,           0,           1,           1,          10,          30,           8,           3,           0, 
      679, 945130.00,   1391.94,      1.46,      8.77,      0.20,      3.34,           3,           0,           1,           1,           9,           8,          50,           3,           0, 
      226, 545730.00,   2414.73,      1.94,      8.45,      0.40,      3.34,           3,           0,           6,           1,          10,          25,          43,           3,           0, 
      608, 863420.00,   1420.10,      1.48,      9.37,      0.21,      3.34,           3,           0,           1,           1,          10,          50,          50,           3,           0, 
      417, 735420.00,   1763.60,      1.61,      8.09,      0.26,      3.32,           3,           0,           1,           1,           9,          14,          18,           3,           0, 
      721, 928700.00,   1288.07,      1.44,      8.31,      0.19,      3.32,           3,           0,           1,           1,           9,          14,           7,           3,           0, 
      602, 843850.00,   1401.74,      1.48,      8.12,      0.21,      3.32,           3,           0,           3,           1,          10,          14,          24,           3,           0, 
      267, 558370.00,   2091.27,      1.80,      8.50,      0.33,      3.32,           3,           0,           3,           1,          10,          25,          38,           3,           0, 
      749, 950070.00,   1268.45,      1.43,      8.01,      0.19,      3.31,           3,           0,           3,           1,          10,          14,          32,           3,           0, 
      712, 945120.00,   1327.42,      1.44,      8.81,      0.19,      3.31,           3,           0,           1,           1,           9,          15,          22,           3,           0, 
      607, 1261950.00,   2079.00,      1.45,      9.11,      0.19,      3.31,           3,           0,           3,           1,           8,          25,          13,           2,           0, 
      468, 758370.00,   1620.45,      1.59,     10.13,      0.24,      3.30,           3,           0,           1,           1,          10,          15,          20,           3,           0, 
      731, 934330.00,   1278.15,      1.43,      8.20,      0.18,      3.30,           3,           0,           1,           1,          10,          14,          16,           3,           0, 
      375, 712130.00,   1899.01,      1.67,     11.26,      0.29,      3.29,           3,           0,           1,           1,          10,           8,          44,           3,           0, 
      408, 705590.00,   1729.39,      1.61,     10.37,      0.26,      3.27,           3,           0,           1,           1,          10,          14,          38,           3,           0, 
      381, 679460.00,   1783.36,      1.64,     10.56,      0.28,      3.25,           3,           0,           1,           1,          10,          14,          23,           3,           0, 
      396, 710620.00,   1794.49,      1.66,      8.08,      0.29,      3.25,           3,           0,           3,           1,          10,          15,          41,           3,           0, 
      374, 673920.00,   1801.93,      1.69,      8.52,      0.28,      3.24,           3,           0,           4,           2,          10,          15,           3,           3,           0, 
      465, 721390.00,   1551.38,      1.56,      8.41,      0.25,      3.24,           3,           0,           1,           1,          10,          14,          36,           3,           0, 
      616, 838350.00,   1360.96,      1.47,      8.37,      0.20,      3.23,           3,           0,           3,           1,          10,          26,           8,           3,           0, 
      472, 752240.00,   1593.73,      1.57,      9.34,      0.25,      3.23,           3,           0,           3,           1,          10,          15,          21,           3,           0, 
      366, 654010.00,   1786.91,      1.67,      9.35,      0.28,      3.22,           3,           0,           1,           1,           9,          15,          38,           3,           0, 
     1706, 1610410.00,    943.97,      1.25,      9.92,      0.11,      3.22,           3,           0,           3,           2,          10,          14,           8,           3,           0, 
      513, 784250.00,   1528.75,      1.52,     10.44,      0.22,      3.22,           3,           0,           1,           1,          10,          14,          20,           3,           0, 
     1062, 1303670.00,   1227.56,      1.34,      8.45,      0.15,      3.19,           3,           0,           3,           1,           9,          14,          24,           2,           0, 
      530, 793180.00,   1496.57,      1.53,      8.39,      0.23,      3.19,           3,           0,           3,           1,          10,          15,          33,           3,           0, 
     1620, 1531590.00,    945.43,      1.25,      8.23,      0.12,      3.19,           3,           0,           3,           1,          10,          14,           8,           1,           0, 
      686, 1002770.00,   1461.76,      1.43,      8.15,      0.20,      3.18,           3,           0,           3,           1,          10,          25,          34,           2,           0, 
     1613, 1563160.00,    969.10,      1.25,      9.27,      0.12,      3.18,           3,           0,           3,           2,          10,          14,          50,           3,           0, 
      419, 686730.00,   1638.97,      1.58,      9.19,      0.25,      3.18,           3,           0,           1,           1,          10,           8,          45,           3,           0, 
      406, 657870.00,   1620.37,      1.58,      9.96,      0.25,      3.18,           3,           0,           1,           1,          10,          25,          33,           3,           0, 
      379, 701930.00,   1852.06,      1.63,     10.91,      0.27,      3.17,           3,           0,           1,           1,          10,          14,          44,           3,           0, 
      506, 746260.00,   1474.82,      1.53,     11.03,      0.23,      3.17,           3,           0,           1,           1,          10,          15,          33,           3,           0, 
      671, 847030.00,   1262.34,      1.44,      8.53,      0.19,      3.16,           3,           0,           1,           1,          10,          15,          32,           3,           0, 
      702, 992610.00,   1413.97,      1.42,      8.07,      0.19,      3.15,           3,           0,           1,           1,           7,           8,          50,           3,           0, 
      129, 544510.00,   4221.01,      2.42,      9.51,      0.55,      3.14,           3,           0,           1,           1,           8,           8,          38,           3,           0, 
      893, 1665270.00,   1864.80,      1.36,      8.03,      0.16,      3.14,           3,           0,           2,           2,           7,          44,          24,           3,           0, 
      698, 882620.00,   1264.50,      1.42,      8.98,      0.18,      3.13,           3,           0,           1,           1,           9,          15,          16,           3,           0, 
      438, 699780.00,   1597.67,      1.55,      8.65,      0.24,      3.12,           3,           0,           3,           1,          10,          25,          33,           3,           0, 
     1702, 1561100.00,    917.22,      1.24,      8.80,      0.11,      3.11,           3,           0,           3,           2,          10,          14,          22,           3,           0, 
      576, 777690.00,   1350.16,      1.46,      8.46,      0.20,      3.11,           3,           0,           1,           1,          10,          14,          27,           3,           0, 
      233, 502070.00,   2154.81,      1.81,     10.21,      0.34,      3.10,           3,           0,           1,           1,          10,          25,          43,           3,           0, 
      385, 694690.00,   1804.39,      1.60,     10.68,      0.26,      3.09,           3,           0,           1,           1,           9,          14,          44,           3,           0, 
      349, 533590.00,   1528.91,      1.61,     10.75,      0.26,      3.09,           3,           0,           3,           1,          10,           9,          23,           3,           0, 
      153, 391640.00,   2559.74,      2.04,     13.10,      0.45,      3.09,           3,           0,           3,           1,          10,          28,          44,           3,           0, 
      371, 634230.00,   1709.51,      1.59,      8.36,      0.24,      3.08,           3,           0,           1,           1,          10,          25,          20,           3,           0, 
      625, 763730.00,   1221.97,      1.43,      8.85,      0.18,      3.07,           3,           0,           1,           1,          10,           9,          50,           3,           0, 
      715, 857470.00,   1199.26,      1.40,      8.91,      0.18,      3.06,           3,           0,           1,           1,          10,           8,          32,           3,           0, 
      550, 761340.00,   1384.25,      1.46,      8.36,      0.21,      3.05,           3,           0,           1,           1,          10,          14,          33,           3,           0, 
      683, 783880.00,   1147.70,      1.41,      9.07,      0.17,      3.05,           3,           0,           1,           1,          10,           9,           8,           3,           0, 
      328, 588480.00,   1794.15,      1.67,      9.16,      0.29,      3.04,           3,           0,           1,           1,          10,          15,           1,           3,           0, 
      582, 798580.00,   1372.13,      1.45,      8.36,      0.20,      3.03,           3,           0,           3,           1,          10,          14,          33,           3,           0, 
      225, 503500.00,   2237.78,      1.79,      8.87,      0.33,      3.02,           3,           0,           1,           1,          10,          26,          43,           3,           0, 
     1068, 1072660.00,   1004.36,      1.30,      8.28,      0.13,      3.01,           3,           0,           4,           2,          10,          14,          50,           1,           0, 
      227, 472550.00,   2081.72,      1.78,      9.48,      0.34,      3.00,           3,           0,           1,           1,          10,          25,           5,           3,           0, 
     1268, 1295260.00,   1021.50,      1.28,      8.05,      0.13,      3.00,           3,           0,           3,           1,          10,          14,          24,           1,           0, 
      580, 992070.00,   1710.47,      1.44,      9.36,      0.19,      2.97,           3,           0,           3,           1,           3,          14,          43,           2,           0, 
      334, 585250.00,   1752.25,      1.65,      9.11,      0.28,      2.97,           3,           0,           1,           1,          10,          15,          43,           3,           0, 
