
       ====================
          >>> BTfast <<<   
       ====================

    Strategy   : MasterCode
    Symbol     : GC
    TimeFrame  : M15
    Data File  : GC/GC_M15_2010-2014_2018-2019.csv

2020-06-08 11:51:30 | (Parallel) Running optimization 83 / 1224
2020-06-08 11:51:32 | (Parallel) Running optimization 84 / 1224
2020-06-08 11:51:33 | (Parallel) Running optimization 85 / 1224
2020-06-08 11:51:36 | (Parallel) Running optimization 86 / 1224
2020-06-08 11:51:37 | (Parallel) Running optimization 87 / 1224
2020-06-08 11:51:39 | (Parallel) Running optimization 88 / 1224
2020-06-08 11:51:40 | (Parallel) Running optimization 89 / 1224
2020-06-08 11:51:43 | (Parallel) Running optimization 90 / 1224
2020-06-08 11:51:44 | (Parallel) Running optimization 91 / 1224
2020-06-08 11:51:46 | (Parallel) Running optimization 92 / 1224
2020-06-08 11:51:47 | (Parallel) Running optimization 93 / 1224
2020-06-08 11:51:51 | (Parallel) Running optimization 94 / 1224
2020-06-08 11:51:51 | (Parallel) Running optimization 95 / 1224
2020-06-08 11:51:53 | (Parallel) Running optimization 96 / 1224
2020-06-08 11:51:55 | (Parallel) Running optimization 97 / 1224
2020-06-08 11:51:58 | (Parallel) Running optimization 98 / 1224
2020-06-08 11:51:59 | (Parallel) Running optimization 99 / 1224
2020-06-08 11:52:01 | (Parallel) Running optimization 100 / 1224
2020-06-08 11:52:01 | (Parallel) Running optimization 101 / 1224
2020-06-08 11:52:04 | (Parallel) Running optimization 102 / 1224
2020-06-08 11:52:05 | (Parallel) Running optimization 103 / 1224
2020-06-08 11:52:07 | (Parallel) Running optimization 104 / 1224
2020-06-08 11:52:07 | (Parallel) Running optimization 105 / 1224
2020-06-08 11:52:11 | (Parallel) Running optimization 106 / 1224
2020-06-08 11:52:12 | (Parallel) Running optimization 107 / 1224
2020-06-08 11:52:14 | (Parallel) Running optimization 108 / 1224
2020-06-08 11:52:14 | (Parallel) Running optimization 109 / 1224
2020-06-08 11:52:18 | (Parallel) Running optimization 110 / 1224
2020-06-08 11:52:19 | (Parallel) Running optimization 111 / 1224
2020-06-08 11:52:21 | (Parallel) Running optimization 112 / 1224
2020-06-08 11:52:21 | (Parallel) Running optimization 113 / 1224
2020-06-08 11:52:25 | (Parallel) Running optimization 114 / 1224
2020-06-08 11:52:26 | (Parallel) Running optimization 115 / 1224
2020-06-08 11:52:28 | (Parallel) Running optimization 116 / 1224
2020-06-08 11:52:28 | (Parallel) Running optimization 117 / 1224
2020-06-08 11:52:32 | (Parallel) Running optimization 118 / 1224
2020-06-08 11:52:33 | (Parallel) Running optimization 119 / 1224
2020-06-08 11:52:35 | (Parallel) Running optimization 120 / 1224
2020-06-08 11:52:35 | (Parallel) Running optimization 121 / 1224
2020-06-08 11:52:39 | (Parallel) Running optimization 122 / 1224
2020-06-08 11:52:40 | (Parallel) Running optimization 123 / 1224
2020-06-08 11:52:41 | (Parallel) Running optimization 124 / 1224
2020-06-08 11:52:42 | (Parallel) Running optimization 125 / 1224
2020-06-08 11:52:46 | (Parallel) Running optimization 126 / 1224
2020-06-08 11:52:47 | (Parallel) Running optimization 127 / 1224
2020-06-08 11:52:48 | (Parallel) Running optimization 128 / 1224
2020-06-08 11:52:48 | (Parallel) Running optimization 129 / 1224
2020-06-08 11:52:52 | (Parallel) Running optimization 130 / 1224
2020-06-08 11:52:53 | (Parallel) Running optimization 131 / 1224
2020-06-08 11:52:54 | (Parallel) Running optimization 132 / 1224
2020-06-08 11:52:55 | (Parallel) Running optimization 133 / 1224
2020-06-08 11:52:59 | (Parallel) Running optimization 134 / 1224
2020-06-08 11:53:00 | (Parallel) Running optimization 135 / 1224
2020-06-08 11:53:01 | (Parallel) Running optimization 136 / 1224
2020-06-08 11:53:02 | (Parallel) Running optimization 137 / 1224
2020-06-08 11:53:06 | (Parallel) Running optimization 138 / 1224
2020-06-08 11:53:07 | (Parallel) Running optimization 139 / 1224
2020-06-08 11:53:08 | (Parallel) Running optimization 140 / 1224
2020-06-08 11:53:09 | (Parallel) Running optimization 141 / 1224
2020-06-08 11:53:13 | (Parallel) Running optimization 142 / 1224
2020-06-08 11:53:15 | (Parallel) Running optimization 143 / 1224
2020-06-08 11:53:15 | (Parallel) Running optimization 144 / 1224
2020-06-08 11:53:16 | (Parallel) Running optimization 145 / 1224
2020-06-08 11:53:21 | (Parallel) Running optimization 146 / 1224
2020-06-08 11:53:22 | (Parallel) Running optimization 147 / 1224
2020-06-08 11:53:22 | (Parallel) Running optimization 148 / 1224
2020-06-08 11:53:23 | (Parallel) Running optimization 149 / 1224
2020-06-08 11:53:27 | (Parallel) Running optimization 150 / 1224
2020-06-08 11:53:28 | (Parallel) Running optimization 151 / 1224
2020-06-08 11:53:29 | (Parallel) Running optimization 152 / 1224
2020-06-08 11:53:30 | (Parallel) Running optimization 153 / 1224
2020-06-08 11:53:34 | (Parallel) Running optimization 154 / 1224
2020-06-08 11:53:35 | (Parallel) Running optimization 155 / 1224
2020-06-08 11:53:35 | (Parallel) Running optimization 156 / 1224
2020-06-08 11:53:37 | (Parallel) Running optimization 157 / 1224
2020-06-08 11:53:41 | (Parallel) Running optimization 158 / 1224
2020-06-08 11:53:42 | (Parallel) Running optimization 159 / 1224
2020-06-08 11:53:42 | (Parallel) Running optimization 160 / 1224
2020-06-08 11:53:44 | (Parallel) Running optimization 161 / 1224
2020-06-08 11:53:49 | (Parallel) Running optimization 162 / 1224
2020-06-08 11:53:49 | (Parallel) Running optimization 163 / 1224
2020-06-08 11:53:49 | (Parallel) Running optimization 164 / 1224
2020-06-08 11:53:51 | (Parallel) Running optimization 165 / 1224
2020-06-08 11:53:56 | (Parallel) Running optimization 166 / 1224
2020-06-08 11:53:56 | (Parallel) Running optimization 167 / 1224
2020-06-08 11:53:57 | (Parallel) Running optimization 168 / 1224
2020-06-08 11:53:58 | (Parallel) Running optimization 169 / 1224
2020-06-08 11:54:03 | (Parallel) Running optimization 170 / 1224
2020-06-08 11:54:03 | (Parallel) Running optimization 171 / 1224
2020-06-08 11:54:04 | (Parallel) Running optimization 172 / 1224
2020-06-08 11:54:05 | (Parallel) Running optimization 173 / 1224
2020-06-08 11:54:10 | (Parallel) Running optimization 174 / 1224
