# TimeStamp   : 2020-08-05 20:44:26
# Strategy    : MasterCode
# Symbol      : GC
# TimeFrame   : M10
# Date Range  : 2010-01-03 --> 2019-12-31
#
#  Ntrades, AvgTicks,  WinPerc,PftFactor,   NP/MDD,Expectancy,  Z-score,BOMR_switch,Side_switch,   MyStop,POI_switch,Distance_switch,DOW_switch,Intraday_switch,Filter1L_switch,Filter1S_switch,MktRegimeL_switch,MktRegimeS_switch,DPS_switch,Exit_switch,fractN_long,fractN_short,  epsilon,
      312,    14.13,    54.49,     1.52,     4.67,     0.24,     2.54,          1,          1,          0,          3,          4,          0,          0,          4,          0,          0,          0,          0,          1,          4,          0,          0,
      310,    12.34,    55.48,     1.46,     5.16,     0.20,     2.39,          1,          1,          0,          4,          1,          3,         10,         39,          0,          0,          0,          0,          1,          4,          0,          0,
