# TimeStamp   : 2020-08-24 10:29:49
# Strategy    : MasterCode
# Symbol      : RTY
# TimeFrame   : M10
# Date Range  : 2010-01-03 --> 2019-12-31
#
#<Strategies/MasterCode.xml>
# <?xml version='1.0' encoding='UTF-8'?>
# <!--
# === All parameters need to be INTEGER ===
# 
#  - Main node within <Inputs> and </Inputs>
# 
#  - Fixed-input parameters are with syntax:
# 
#     <Input>
#       <Name>parameter_name</Name>
#       <Value>0.5</Value>
#     </Input>
# 
#  - Optimizable parameter are with syntax:
# 
#     <OptRange>
#       <Name>parameter_name</Name>
#       <Start>1</Start>
#       <Stop>20</Stop>
#       <Step>1</Step>
#     </OptRange>
# 
# For Backtest: only the <Start> value of <OptRange> parameters is read.
# 
# Names of input variables must match those in 'mode_factory_sequential'
# 
# Names of optimization variables ("fractN_long", "fractN_short")
# and "Side_switch" must match in 'validation.cpp'
# 
# -->
# <Inputs>
#     <Input>
#         <Name>BOMR_switch</Name>        <!-- 1 = BO, 2 = MR -->
#         <Value>2</Value>
#     </Input>
#     <Input>
#         <Name>Side_switch</Name>        <!-- 1 = L, 2 = S, 3 = both -->
#         <Value>2</Value>
#     </Input>
#     <Input>
#         <Name>MyStop</Name>             <!--  Stop-Loss in USD per contract -->
#         <Value>0</Value>
#     </Input>
#     <OptRange>
#         <Name>POI_switch</Name>         <!-- 1..8:1 -->
#         <Start>1</Start>
#         <Stop>8</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Distance_switch</Name>    <!-- 1..4:1 -->
#         <Start>1</Start>
#         <Stop>4</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>fractN_long</Name>        <!-- 0..4:1 -->
#         <Start>0</Start>
#         <Stop>4</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>fractN_short</Name>       <!-- 0..4:1 -->
#         <Start>0</Start>
#         <Stop>4</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>DOW_switch</Name>         <!-- 0..5:1 -->
#         <Start>0</Start>
#         <Stop>5</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Intraday_switch</Name>    <!-- 0..10:1 -->
#         <Start>0</Start>
#         <Stop>10</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Filter1L_switch</Name>    <!-- 0..56:1 -->
#         <Start>0</Start>
#         <Stop>56</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Filter1S_switch</Name>    <!-- 0..56:1 -->
#         <Start>0</Start>
#         <Stop>56</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Exit_switch</Name>        <!-- 1..5:1 -->
#         <Start>1</Start>
#         <Stop>2</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>MktRegimeL_switch</Name>  <!-- 0..8:1 -->
#         <Start>0</Start>
#         <Stop>8</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>MktRegimeS_switch</Name>  <!-- 0..8:1 -->
#         <Start>0</Start>
#         <Stop>8</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <Input>
#         <Name>DPS_switch</Name>         <!--  0 (false) or 1 (true) -->
#         <Value>0</Value>
#     </Input>
#     <Input>
#         <Name>epsilon</Name>            <!-- always 0 (used in stability test) -->
#         <Value>0</Value>
#     </Input>
# </Inputs>
#</Strategies/MasterCode.xml>
#
#  Ntrades, AvgTicks,  WinPerc,PftFactor,   NP/MDD,Expectancy,  Z-score,BOMR_switch,Side_switch,   MyStop,POI_switch,Distance_switch,fractN_long,fractN_short,DOW_switch,Intraday_switch,Filter1L_switch,Filter1S_switch,Exit_switch,MktRegimeL_switch,MktRegimeS_switch,DPS_switch,  epsilon,
       26,    22.77,    50.00,     1.32,     0.64,     0.16,     0.00,          2,          2,          0,          8,          3,          0,          3,          0,          0,          0,          0,          2,          0,          0,          0,          0,
        3,  -140.00,     0.00,     0.00,    -1.00,    -1.00,     0.00,          2,          2,          0,          8,          3,          0,          4,          0,          0,          0,          0,          2,          0,          0,          0,          0,
        5,   -94.80,    20.00,     0.16,    -1.00,    -0.67,     0.00,          2,          2,          0,          6,          3,          0,          4,          0,          0,          0,          0,          2,          0,          0,          0,          0,
        5,   -89.40,    20.00,     0.28,    -1.00,    -0.57,     0.00,          2,          2,          0,          3,          3,          0,          4,          0,          0,          0,          0,          2,          0,          0,          0,          0,
      126,    -0.18,    48.41,     1.00,    -0.01,    -0.00,    -0.01,          2,          2,          0,          6,          1,          0,          3,          0,          0,          0,          0,          2,          0,          0,          0,          0,
      365,    -0.10,    44.38,     1.00,    -0.01,    -0.00,    -0.02,          2,          2,          0,          1,          2,          0,          3,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      157,    -0.38,    43.31,     1.00,    -0.02,    -0.00,    -0.02,          2,          2,          0,          3,          2,          0,          2,          0,          0,          0,          0,          2,          0,          0,          0,          0,
      194,    -0.40,    45.88,     1.00,    -0.03,    -0.00,    -0.02,          2,          2,          0,          2,          1,          0,          3,          0,          0,          0,          0,          2,          0,          0,          0,          0,
      150,    -0.15,    50.00,     1.00,    -0.03,    -0.00,    -0.02,          2,          2,          0,          8,          2,          0,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,
       39,    -1.31,    46.15,     0.98,    -0.03,    -0.01,    -0.03,          2,          2,          0,          3,          3,          0,          3,          0,          0,          0,          0,          2,          0,          0,          0,          0,
      581,    -0.22,    43.20,     1.00,    -0.04,    -0.00,    -0.04,          2,          2,          0,          4,          4,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      110,    -1.05,    43.64,     0.99,    -0.06,    -0.01,    -0.05,          2,          2,          0,          3,          2,          0,          3,          0,          0,          0,          0,          2,          0,          0,          0,          0,
      632,    -0.31,    45.09,     0.99,    -0.05,    -0.00,    -0.05,          2,          2,          0,          1,          4,          0,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      637,    -0.32,    45.05,     0.99,    -0.05,    -0.00,    -0.06,          2,          2,          0,          1,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      638,    -0.34,    45.77,     0.99,    -0.05,    -0.00,    -0.06,          2,          2,          0,          1,          2,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      599,    -0.35,    44.57,     0.99,    -0.04,    -0.00,    -0.06,          2,          2,          0,          1,          1,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      532,    -0.45,    44.74,     0.99,    -0.06,    -0.01,    -0.08,          2,          2,          0,          1,          1,          0,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      654,    -0.50,    44.95,     0.99,    -0.08,    -0.01,    -0.09,          2,          2,          0,          1,          4,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      648,    -0.50,    45.22,     0.99,    -0.08,    -0.01,    -0.09,          2,          2,          0,          2,          4,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      588,    -0.57,    43.37,     0.99,    -0.10,    -0.01,    -0.10,          2,          2,          0,          4,          4,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      598,    -0.59,    45.65,     0.99,    -0.08,    -0.01,    -0.10,          2,          2,          0,          2,          2,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      156,    -0.81,    48.72,     0.97,    -0.13,    -0.01,    -0.11,          2,          2,          0,          8,          1,          0,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      573,    -0.68,    44.68,     0.99,    -0.11,    -0.01,    -0.12,          2,          2,          0,          4,          4,          0,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      181,    -2.43,    44.20,     0.97,    -0.16,    -0.01,    -0.12,          2,          2,          0,          2,          3,          0,          2,          0,          0,          0,          0,          2,          0,          0,          0,          0,
      503,    -0.81,    44.93,     0.98,    -0.14,    -0.01,    -0.14,          2,          2,          0,          4,          4,          0,          4,          0,          0,          0,          0,          1,          0,          0,          0,          0,
       88,    -1.08,    48.86,     0.96,    -0.13,    -0.02,    -0.14,          2,          2,          0,          8,          2,          0,          3,          0,          0,          0,          0,          1,          0,          0,          0,          0,
       67,    -1.31,    46.27,     0.95,    -0.13,    -0.03,    -0.15,          2,          2,          0,          3,          1,          0,          4,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      195,    -2.87,    45.13,     0.97,    -0.16,    -0.02,    -0.16,          2,          2,          0,          1,          1,          0,          3,          0,          0,          0,          0,          2,          0,          0,          0,          0,
      508,    -0.97,    44.69,     0.98,    -0.19,    -0.01,    -0.16,          2,          2,          0,          7,          1,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      157,    -1.27,    49.04,     0.96,    -0.10,    -0.02,    -0.17,          2,          2,          0,          2,          1,          0,          4,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      379,    -1.01,    46.44,     0.97,    -0.15,    -0.01,    -0.17,          2,          2,          0,          2,          1,          0,          3,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      179,    -3.70,    43.58,     0.96,    -0.20,    -0.02,    -0.19,          2,          2,          0,          1,          3,          0,          2,          0,          0,          0,          0,          2,          0,          0,          0,          0,
      336,    -1.18,    46.73,     0.97,    -0.16,    -0.02,    -0.20,          2,          2,          0,          3,          4,          0,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,
       93,    -4.40,    41.94,     0.94,    -0.20,    -0.03,    -0.20,          2,          2,          0,          1,          3,          0,          3,          0,          0,          0,          0,          2,          0,          0,          0,          0,
       88,    -5.19,    43.18,     0.94,    -0.21,    -0.04,    -0.20,          2,          2,          0,          2,          3,          0,          3,          0,          0,          0,          0,          2,          0,          0,          0,          0,
      519,    -1.26,    43.55,     0.97,    -0.16,    -0.02,    -0.22,          2,          2,          0,          2,          1,          0,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      139,    -1.61,    46.76,     0.95,    -0.22,    -0.03,    -0.23,          2,          2,          0,          8,          3,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      190,    -1.47,    49.47,     0.95,    -0.26,    -0.02,    -0.23,          2,          2,          0,          8,          2,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,
       39,    -9.46,    35.90,     0.88,    -0.31,    -0.07,    -0.23,          2,          2,          0,          6,          3,          0,          3,          0,          0,          0,          0,          2,          0,          0,          0,          0,
      350,    -1.36,    46.86,     0.97,    -0.18,    -0.02,    -0.23,          2,          2,          0,          3,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      117,    -5.05,    47.01,     0.94,    -0.37,    -0.03,    -0.24,          2,          2,          0,          6,          2,          0,          3,          0,          0,          0,          0,          2,          0,          0,          0,          0,
      522,    -1.39,    45.40,     0.97,    -0.24,    -0.02,    -0.24,          2,          2,          0,          4,          2,          0,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      315,    -1.49,    46.03,     0.96,    -0.18,    -0.02,    -0.24,          2,          2,          0,          3,          1,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      524,    -1.48,    44.08,     0.97,    -0.29,    -0.02,    -0.25,          2,          2,          0,          7,          4,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      361,    -1.50,    45.71,     0.96,    -0.21,    -0.02,    -0.26,          2,          2,          0,          3,          4,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,
       83,    -5.99,    43.37,     0.92,    -0.33,    -0.05,    -0.26,          2,          2,          0,          8,          1,          0,          3,          0,          0,          0,          0,          2,          0,          0,          0,          0,
      372,    -1.72,    45.16,     0.96,    -0.23,    -0.02,    -0.30,          2,          2,          0,          3,          4,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      594,    -1.74,    45.96,     0.97,    -0.22,    -0.02,    -0.31,          2,          2,          0,          2,          1,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      269,    -1.78,    45.35,     0.95,    -0.35,    -0.03,    -0.32,          2,          2,          0,          6,          4,          0,          4,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      259,    -2.02,    47.49,     0.94,    -0.27,    -0.03,    -0.33,          2,          2,          0,          6,          3,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      334,    -1.97,    43.41,     0.95,    -0.29,    -0.03,    -0.33,          2,          2,          0,          1,          3,          0,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      351,    -1.93,    45.58,     0.95,    -0.34,    -0.03,    -0.34,          2,          2,          0,          6,          4,          0,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      520,    -1.98,    44.04,     0.96,    -0.33,    -0.02,    -0.34,          2,          2,          0,          4,          1,          0,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      515,    -2.13,    43.50,     0.96,    -0.40,    -0.02,    -0.36,          2,          2,          0,          7,          2,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,
       69,    -9.84,    42.03,     0.87,    -0.45,    -0.08,    -0.37,          2,          2,          0,          8,          2,          0,          3,          0,          0,          0,          0,          2,          0,          0,          0,          0,
      188,    -6.91,    43.09,     0.93,    -0.35,    -0.04,    -0.37,          2,          2,          0,          1,          2,          0,          3,          0,          0,          0,          0,          2,          0,          0,          0,          0,
      644,    -2.13,    44.57,     0.96,    -0.30,    -0.02,    -0.37,          2,          2,          0,          1,          4,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      515,    -2.21,    44.08,     0.96,    -0.43,    -0.03,    -0.38,          2,          2,          0,          7,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      190,    -7.16,    42.11,     0.92,    -0.44,    -0.04,    -0.38,          2,          2,          0,          2,          2,          0,          3,          0,          0,          0,          0,          2,          0,          0,          0,          0,
       40,    -4.10,    47.50,     0.84,    -0.37,    -0.08,    -0.39,          2,          2,          0,          3,          3,          0,          3,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      514,    -2.27,    43.77,     0.95,    -0.42,    -0.03,    -0.39,          2,          2,          0,          7,          4,          0,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      384,    -2.33,    43.49,     0.95,    -0.36,    -0.03,    -0.39,          2,          2,          0,          4,          3,          0,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      583,    -2.21,    45.11,     0.96,    -0.37,    -0.02,    -0.40,          2,          2,          0,          2,          3,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      518,    -2.36,    43.44,     0.95,    -0.45,    -0.03,    -0.40,          2,          2,          0,          7,          4,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,
       68,   -10.99,    44.12,     0.86,    -0.51,    -0.08,    -0.41,          2,          2,          0,          8,          3,          0,          2,          0,          0,          0,          0,          2,          0,          0,          0,          0,
      218,    -7.95,    42.66,     0.93,    -0.47,    -0.04,    -0.41,          2,          2,          0,          1,          2,          0,          2,          0,          0,          0,          0,          2,          0,          0,          0,          0,
      176,   -12.40,    43.18,     0.89,    -0.46,    -0.06,    -0.43,          2,          2,          0,          3,          3,          0,          0,          0,          0,          0,          0,          2,          0,          0,          0,          0,
      109,    -9.90,    44.95,     0.88,    -0.50,    -0.07,    -0.44,          2,          2,          0,          6,          3,          0,          2,          0,          0,          0,          0,          2,          0,          0,          0,          0,
      153,    -3.39,    47.06,     0.90,    -0.23,    -0.05,    -0.44,          2,          2,          0,          1,          1,          0,          4,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      184,   -12.28,    46.20,     0.89,    -0.50,    -0.06,    -0.44,          2,          2,          0,          3,          4,          0,          3,          0,          0,          0,          0,          2,          0,          0,          0,          0,
      193,   -11.90,    46.11,     0.89,    -0.47,    -0.06,    -0.44,          2,          2,          0,          3,          2,          0,          0,          0,          0,          0,          0,          2,          0,          0,          0,          0,
      195,   -12.05,    46.67,     0.89,    -0.50,    -0.06,    -0.45,          2,          2,          0,          3,          4,          0,          1,          0,          0,          0,          0,          2,          0,          0,          0,          0,
      159,    -3.57,    42.77,     0.90,    -0.44,    -0.06,    -0.46,          2,          2,          0,          4,          3,          0,          3,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      178,    -3.15,    47.19,     0.91,    -0.46,    -0.05,    -0.47,          2,          2,          0,          8,          3,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,
       81,    -3.43,    45.68,     0.87,    -0.43,    -0.07,    -0.47,          2,          2,          0,          8,          3,          0,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      507,    -2.72,    44.38,     0.94,    -0.50,    -0.03,    -0.47,          2,          2,          0,          7,          2,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      261,    -3.02,    44.83,     0.92,    -0.37,    -0.04,    -0.47,          2,          2,          0,          3,          1,          0,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      179,   -13.59,    43.58,     0.88,    -0.51,    -0.07,    -0.48,          2,          2,          0,          3,          2,          0,          1,          0,          0,          0,          0,          2,          0,          0,          0,          0,
      486,    -2.80,    44.24,     0.94,    -0.42,    -0.03,    -0.48,          2,          2,          0,          7,          2,          0,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      111,    -4.12,    45.05,     0.86,    -0.32,    -0.07,    -0.51,          2,          2,          0,          1,          3,          0,          3,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      276,    -2.90,    43.84,     0.92,    -0.54,    -0.04,    -0.51,          2,          2,          0,          6,          2,          0,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      500,    -3.02,    43.60,     0.94,    -0.56,    -0.03,    -0.52,          2,          2,          0,          7,          4,          0,          3,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      367,    -3.01,    44.96,     0.93,    -0.52,    -0.04,    -0.53,          2,          2,          0,          6,          4,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      102,   -11.66,    44.12,     0.85,    -0.63,    -0.08,    -0.54,          2,          2,          0,          8,          2,          0,          2,          0,          0,          0,          0,          2,          0,          0,          0,          0,
      483,    -3.20,    44.10,     0.93,    -0.46,    -0.04,    -0.54,          2,          2,          0,          7,          3,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      195,   -15.05,    46.15,     0.87,    -0.57,    -0.07,    -0.56,          2,          2,          0,          3,          4,          0,          0,          0,          0,          0,          0,          2,          0,          0,          0,          0,
      671,    -3.29,    44.86,     0.94,    -0.45,    -0.03,    -0.56,          2,          2,          0,          5,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      671,    -3.29,    44.86,     0.94,    -0.45,    -0.03,    -0.56,          2,          2,          0,          5,          4,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      671,    -3.29,    44.86,     0.94,    -0.45,    -0.03,    -0.56,          2,          2,          0,          5,          3,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      671,    -3.29,    44.86,     0.94,    -0.45,    -0.03,    -0.56,          2,          2,          0,          5,          1,          0,          4,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      671,    -3.29,    44.86,     0.94,    -0.45,    -0.03,    -0.56,          2,          2,          0,          5,          4,          0,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      671,    -3.29,    44.86,     0.94,    -0.45,    -0.03,    -0.56,          2,          2,          0,          5,          2,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      671,    -3.29,    44.86,     0.94,    -0.45,    -0.03,    -0.56,          2,          2,          0,          5,          4,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      671,    -3.29,    44.86,     0.94,    -0.45,    -0.03,    -0.56,          2,          2,          0,          5,          1,          0,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      671,    -3.29,    44.86,     0.94,    -0.45,    -0.03,    -0.56,          2,          2,          0,          5,          2,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      671,    -3.29,    44.86,     0.94,    -0.45,    -0.03,    -0.56,          2,          2,          0,          5,          4,          0,          3,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      671,    -3.29,    44.86,     0.94,    -0.45,    -0.03,    -0.56,          2,          2,          0,          5,          3,          0,          4,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      671,    -3.29,    44.86,     0.94,    -0.45,    -0.03,    -0.56,          2,          2,          0,          5,          3,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      671,    -3.29,    44.86,     0.94,    -0.45,    -0.03,    -0.56,          2,          2,          0,          5,          4,          0,          4,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      671,    -3.29,    44.86,     0.94,    -0.45,    -0.03,    -0.56,          2,          2,          0,          5,          1,          0,          3,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      671,    -3.29,    44.86,     0.94,    -0.45,    -0.03,    -0.56,          2,          2,          0,          5,          2,          0,          4,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      671,    -3.29,    44.86,     0.94,    -0.45,    -0.03,    -0.56,          2,          2,          0,          5,          3,          0,          3,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      671,    -3.29,    44.86,     0.94,    -0.45,    -0.03,    -0.56,          2,          2,          0,          5,          2,          0,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      671,    -3.29,    44.86,     0.94,    -0.45,    -0.03,    -0.56,          2,          2,          0,          5,          1,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      671,    -3.29,    44.86,     0.94,    -0.45,    -0.03,    -0.56,          2,          2,          0,          5,          2,          0,          3,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      671,    -3.29,    44.86,     0.94,    -0.45,    -0.03,    -0.56,          2,          2,          0,          5,          3,          0,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      483,    -3.50,    43.48,     0.93,    -0.54,    -0.04,    -0.59,          2,          2,          0,          7,          1,          0,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      190,   -16.40,    45.26,     0.85,    -0.56,    -0.08,    -0.60,          2,          2,          0,          3,          1,          0,          0,          0,          0,          0,          0,          2,          0,          0,          0,          0,
      177,    -4.07,    46.89,     0.88,    -0.69,    -0.06,    -0.60,          2,          2,          0,          8,          4,          0,          3,          0,          0,          0,          0,          1,          0,          0,          0,          0,
       98,   -13.74,    43.88,     0.83,    -0.71,    -0.09,    -0.61,          2,          2,          0,          8,          3,          0,          1,          0,          0,          0,          0,          2,          0,          0,          0,          0,
      380,    -3.55,    43.42,     0.91,    -0.42,    -0.05,    -0.62,          2,          2,          0,          1,          1,          0,          3,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      178,   -18.16,    42.70,     0.84,    -0.69,    -0.09,    -0.63,          2,          2,          0,          3,          1,          0,          1,          0,          0,          0,          0,          2,          0,          0,          0,          0,
      213,   -12.58,    40.85,     0.89,    -0.58,    -0.07,    -0.64,          2,          2,          0,          1,          3,          0,          1,          0,          0,          0,          0,          2,          0,          0,          0,          0,
      190,   -17.55,    46.32,     0.84,    -0.62,    -0.08,    -0.64,          2,          2,          0,          3,          4,          0,          2,          0,          0,          0,          0,          2,          0,          0,          0,          0,
       42,    -7.50,    40.48,     0.74,    -0.51,    -0.15,    -0.65,          2,          2,          0,          6,          3,          0,          3,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      357,    -3.75,    45.94,     0.91,    -0.63,    -0.05,    -0.66,          2,          2,          0,          6,          2,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      218,   -12.63,    43.58,     0.88,    -0.67,    -0.07,    -0.66,          2,          2,          0,          2,          2,          0,          2,          0,          0,          0,          0,          2,          0,          0,          0,          0,
      505,    -3.84,    44.55,     0.92,    -0.63,    -0.04,    -0.67,          2,          2,          0,          7,          3,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      159,   -21.75,    42.77,     0.80,    -0.71,    -0.11,    -0.70,          2,          2,          0,          3,          1,          0,          2,          0,          0,          0,          0,          2,          0,          0,          0,          0,
      129,    -4.95,    48.84,     0.84,    -0.37,    -0.08,    -0.71,          2,          2,          0,          1,          2,          0,          4,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      213,   -13.86,    42.25,     0.87,    -0.64,    -0.07,    -0.72,          2,          2,          0,          2,          3,          0,          1,          0,          0,          0,          0,          2,          0,          0,          0,          0,
      161,   -21.88,    44.10,     0.80,    -0.68,    -0.11,    -0.72,          2,          2,          0,          3,          4,          0,          4,          0,          0,          0,          0,          2,          0,          0,          0,          0,
      221,   -18.73,    45.25,     0.84,    -0.60,    -0.09,    -0.74,          2,          2,          0,          4,          3,          0,          1,          0,          0,          0,          0,          2,          0,          0,          0,          0,
      434,    -4.47,    44.01,     0.90,    -0.62,    -0.05,    -0.75,          2,          2,          0,          7,          3,          0,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      473,    -4.42,    43.55,     0.91,    -0.68,    -0.05,    -0.76,          2,          2,          0,          7,          4,          0,          4,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      355,    -4.34,    44.51,     0.89,    -0.70,    -0.06,    -0.76,          2,          2,          0,          6,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,
       78,    -6.38,    41.03,     0.80,    -0.66,    -0.12,    -0.76,          2,          2,          0,          6,          1,          0,          4,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      374,    -4.37,    44.92,     0.90,    -0.70,    -0.06,    -0.77,          2,          2,          0,          6,          4,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      226,   -19.37,    42.92,     0.84,    -0.59,    -0.09,    -0.78,          2,          2,          0,          4,          4,          0,          4,          0,          0,          0,          0,          2,          0,          0,          0,          0,
      133,    -6.39,    42.11,     0.81,    -0.77,    -0.11,    -0.81,          2,          2,          0,          3,          3,          0,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      221,   -20.62,    44.34,     0.83,    -0.63,    -0.09,    -0.81,          2,          2,          0,          4,          2,          0,          2,          0,          0,          0,          0,          2,          0,          0,          0,          0,
      146,   -16.12,    42.47,     0.82,    -0.71,    -0.10,    -0.82,          2,          2,          0,          6,          2,          0,          2,          0,          0,          0,          0,          2,          0,          0,          0,          0,
      194,   -22.39,    44.85,     0.81,    -0.61,    -0.10,    -0.83,          2,          2,          0,          4,          3,          0,          2,          0,          0,          0,          0,          2,          0,          0,          0,          0,
      319,    -4.90,    43.57,     0.88,    -0.76,    -0.07,    -0.87,          2,          2,          0,          6,          4,          0,          3,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      208,    -5.38,    46.15,     0.85,    -0.82,    -0.08,    -0.87,          2,          2,          0,          8,          2,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,
       65,   -24.32,    44.62,     0.72,    -0.69,    -0.16,    -0.88,          2,          2,          0,          6,          1,          0,          4,          0,          0,          0,          0,          2,          0,          0,          0,          0,
      201,   -24.44,    45.77,     0.80,    -0.74,    -0.11,    -0.91,          2,          2,          0,          4,          1,          0,          3,          0,          0,          0,          0,          2,          0,          0,          0,          0,
      189,    -5.83,    47.09,     0.83,    -0.79,    -0.09,    -0.92,          2,          2,          0,          8,          1,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      220,   -23.65,    41.82,     0.81,    -0.68,    -0.11,    -0.93,          2,          2,          0,          4,          1,          0,          2,          0,          0,          0,          0,          2,          0,          0,          0,          0,
      225,   -23.58,    43.11,     0.81,    -0.67,    -0.11,    -0.94,          2,          2,          0,          4,          3,          0,          0,          0,          0,          0,          0,          2,          0,          0,          0,          0,
