# TimeStamp   : 2020-08-24 10:29:49
# Strategy    : MasterCode
# Symbol      : RTY
# TimeFrame   : M10
# Date Range  : 2010-01-03 --> 2019-12-31
#
#<Strategies/MasterCode.xml>
# <?xml version='1.0' encoding='UTF-8'?>
# <!--
# === All parameters need to be INTEGER ===
# 
#  - Main node within <Inputs> and </Inputs>
# 
#  - Fixed-input parameters are with syntax:
# 
#     <Input>
#       <Name>parameter_name</Name>
#       <Value>0.5</Value>
#     </Input>
# 
#  - Optimizable parameter are with syntax:
# 
#     <OptRange>
#       <Name>parameter_name</Name>
#       <Start>1</Start>
#       <Stop>20</Stop>
#       <Step>1</Step>
#     </OptRange>
# 
# For Backtest: only the <Start> value of <OptRange> parameters is read.
# 
# Names of input variables must match those in 'mode_factory_sequential'
# 
# Names of optimization variables ("fractN_long", "fractN_short")
# and "Side_switch" must match in 'validation.cpp'
# 
# -->
# <Inputs>
#     <Input>
#         <Name>BOMR_switch</Name>        <!-- 1 = BO, 2 = MR -->
#         <Value>2</Value>
#     </Input>
#     <Input>
#         <Name>Side_switch</Name>        <!-- 1 = L, 2 = S, 3 = both -->
#         <Value>2</Value>
#     </Input>
#     <Input>
#         <Name>MyStop</Name>             <!--  Stop-Loss in USD per contract -->
#         <Value>0</Value>
#     </Input>
#     <OptRange>
#         <Name>POI_switch</Name>         <!-- 1..8:1 -->
#         <Start>1</Start>
#         <Stop>8</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Distance_switch</Name>    <!-- 1..4:1 -->
#         <Start>1</Start>
#         <Stop>4</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>fractN_long</Name>        <!-- 0..4:1 -->
#         <Start>0</Start>
#         <Stop>4</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>fractN_short</Name>       <!-- 0..4:1 -->
#         <Start>0</Start>
#         <Stop>4</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>DOW_switch</Name>         <!-- 0..5:1 -->
#         <Start>0</Start>
#         <Stop>5</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Intraday_switch</Name>    <!-- 0..10:1 -->
#         <Start>0</Start>
#         <Stop>10</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Filter1L_switch</Name>    <!-- 0..56:1 -->
#         <Start>0</Start>
#         <Stop>56</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Filter1S_switch</Name>    <!-- 0..56:1 -->
#         <Start>0</Start>
#         <Stop>56</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Exit_switch</Name>        <!-- 1..5:1 -->
#         <Start>1</Start>
#         <Stop>2</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>MktRegimeL_switch</Name>  <!-- 0..8:1 -->
#         <Start>0</Start>
#         <Stop>8</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>MktRegimeS_switch</Name>  <!-- 0..8:1 -->
#         <Start>0</Start>
#         <Stop>8</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <Input>
#         <Name>DPS_switch</Name>         <!--  0 (false) or 1 (true) -->
#         <Value>0</Value>
#     </Input>
#     <Input>
#         <Name>epsilon</Name>            <!-- always 0 (used in stability test) -->
#         <Value>0</Value>
#     </Input>
# </Inputs>
#</Strategies/MasterCode.xml>
#
#  Ntrades, AvgTicks,  WinPerc,PftFactor,   NP/MDD,Expectancy,  Z-score,BOMR_switch,Side_switch,   MyStop,POI_switch,Distance_switch,fractN_long,fractN_short,DOW_switch,Intraday_switch,Filter1L_switch,Filter1S_switch,Exit_switch,MktRegimeL_switch,MktRegimeS_switch,DPS_switch,  epsilon,
      185,     1.98,    43.78,     1.06,     0.30,     0.03,     0.26,          2,          2,          0,          4,          2,          0,          4,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      108,     5.26,    41.67,     1.07,     0.25,     0.04,     0.23,          2,          2,          0,          3,          3,          0,          2,          0,          0,          0,          0,          2,          0,          0,          0,          0,
      307,     1.40,    49.51,     1.04,     0.21,     0.02,     0.23,          2,          2,          0,          3,          4,          0,          3,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      565,     1.21,    46.02,     1.02,     0.20,     0.01,     0.21,          2,          2,          0,          4,          2,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,
       62,     5.89,    40.32,     1.08,     0.19,     0.05,     0.19,          2,          2,          0,          3,          1,          0,          4,          0,          0,          0,          0,          2,          0,          0,          0,          0,
      352,     1.13,    48.01,     1.03,     0.16,     0.02,     0.19,          2,          2,          0,          3,          2,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      635,     1.07,    46.30,     1.02,     0.19,     0.01,     0.18,          2,          2,          0,          2,          2,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      101,     3.91,    48.51,     1.05,     0.16,     0.03,     0.18,          2,          2,          0,          1,          2,          0,          4,          0,          0,          0,          0,          2,          0,          0,          0,          0,
      554,     1.02,    45.85,     1.02,     0.17,     0.01,     0.17,          2,          2,          0,          4,          3,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      633,     0.94,    45.34,     1.02,     0.17,     0.01,     0.16,          2,          2,          0,          2,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      593,     0.93,    44.69,     1.02,     0.14,     0.01,     0.16,          2,          2,          0,          1,          3,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      505,     0.92,    45.15,     1.02,     0.12,     0.01,     0.16,          2,          2,          0,          1,          3,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,
       38,     5.79,    39.47,     1.08,     0.28,     0.05,     0.15,          2,          2,          0,          8,          1,          0,          4,          0,          0,          0,          0,          2,          0,          0,          0,          0,
      255,     0.98,    46.67,     1.03,     0.13,     0.01,     0.15,          2,          2,          0,          3,          2,          0,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      567,     0.85,    46.74,     1.02,     0.15,     0.01,     0.15,          2,          2,          0,          4,          1,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      645,     0.84,    45.27,     1.02,     0.15,     0.01,     0.15,          2,          2,          0,          2,          4,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      500,     0.83,    46.20,     1.02,     0.11,     0.01,     0.14,          2,          2,          0,          2,          3,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      604,     0.72,    46.03,     1.01,     0.11,     0.01,     0.13,          2,          2,          0,          1,          4,          0,          3,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      605,     0.72,    45.12,     1.01,     0.11,     0.01,     0.13,          2,          2,          0,          1,          2,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      368,     0.70,    42.66,     1.02,     0.11,     0.01,     0.12,          2,          2,          0,          2,          2,          0,          3,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      197,     0.74,    50.76,     1.02,     0.17,     0.01,     0.12,          2,          2,          0,          6,          1,          0,          3,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      597,     0.62,    44.39,     1.01,     0.10,     0.01,     0.11,          2,          2,          0,          2,          4,          0,          3,          0,          0,          0,          0,          1,          0,          0,          0,          0,
      178,     0.69,    46.63,     1.02,     0.16,     0.01,     0.10,          2,          2,          0,          6,          2,          0,          3,          0,          0,          0,          0,          1,          0,          0,          0,          0,
