# TimeStamp   : 2020-06-17 13:44:31
# Strategy    : MasterCode
# Symbol      : GC
# TimeFrame   : M15
# Date Range  : 2010-01-03 --> 2019-12-31
#
#  Ntrades,  AvgTicks,   WinPerc, PftFactor,    NP/MDD, Expectancy,   Z-score, BOMR_switch, Side_switch,    MyStop, POI_switch, Distance_switch, DOW_switch, Intraday_switch, Filter1L_switch, Filter1S_switch, fractN_long, fractN_short,   epsilon, 
      106,     26.24,     58.49,      2.09,      6.21,      0.45,      2.63,           1,           1,           0,           3,           3,           0,           0,          15,           0,           1,           0,           0, 
      249,     14.68,     52.21,      1.58,      5.48,      0.28,      2.62,           1,           1,           0,           2,           3,           0,           0,          20,           0,           2,           0,           0, 
       97,     19.00,     48.45,      2.10,      6.10,      0.57,      2.58,           1,           1,           0,           1,           1,           0,           4,           0,           0,           4,           0,           0, 
       96,     19.09,     47.92,      2.13,      6.03,      0.59,      2.58,           1,           1,           0,           1,           1,           0,           5,           0,           0,           4,           0,           0, 
      107,     22.69,     53.27,      1.90,      4.89,      0.42,      2.57,           1,           1,           0,           3,           2,           4,          10,          40,           0,           3,           0,           0, 
      268,     14.60,     53.36,      1.53,      5.49,      0.25,      2.57,           1,           1,           0,           3,           3,           0,          10,           0,           0,           1,           0,           0, 
      344,     15.57,     56.10,      1.47,      7.28,      0.21,      2.56,           1,           1,           0,           5,           1,           3,           0,           0,           0,           3,           0,           0, 
      221,     15.72,     54.30,      1.62,      7.17,      0.28,      2.54,           1,           1,           0,           1,           3,           3,           0,           0,           0,           2,           0,           0, 
      131,     16.86,     54.20,      1.85,      8.45,      0.39,      2.54,           1,           1,           0,           3,           2,           0,           8,           5,           0,           3,           0,           0, 
      130,     23.38,     60.00,      1.84,      5.71,      0.33,      2.54,           1,           1,           0,           6,           1,           3,           0,          43,           0,           3,           0,           0, 
      284,     12.63,     53.17,      1.53,      6.14,      0.25,      2.51,           1,           1,           0,           5,           3,           0,           4,           0,           0,           2,           0,           0, 
       91,     20.33,     58.24,      2.12,      8.13,      0.47,      2.51,           1,           1,           0,           4,           1,           3,           5,           0,           0,           4,           0,           0, 
