# TimeStamp   : 2020-07-29 16:31:34
# Strategy    : MasterCode
# Symbol      : NG
# TimeFrame   : M10
# Date Range  : 2009-10-01 --> 2019-12-30
#
#<Strategies/MasterCode.xml>
# <?xml version='1.0' encoding='UTF-8'?>
# <!--
# === All parameters need to be INTEGER ===
# 
#  - Main node within <Inputs> and </Inputs>
# 
#  - Fixed-input parameters are with syntax:
# 
#     <Input>
#       <Name>parameter_name</Name>
#       <Value>0.5</Value>
#     </Input>
# 
#  - Optimizable parameter are with syntax:
# 
#     <OptRange>
#       <Name>parameter_name</Name>
#       <Start>1</Start>
#       <Stop>20</Stop>
#       <Step>1</Step>
#     </OptRange>
# 
# For Backtest: only the <Start> value of <OptRange> parameters is read.
# 
# Names of input variables must match those in 'mode_factory_sequential'
# 
# Names of optimization variables ("fractN_long", "fractN_short")
# and "Side_switch" must match in 'validation.cpp'
# 
# -->
# <Inputs>
#     <Input>
#         <Name>BOMR_switch</Name>        <!-- 1 = BO, 2 = MR -->
#         <Value>2</Value>
#     </Input>
#     <Input>
#         <Name>Side_switch</Name>        <!-- 1 = L, 2 = S, 3 = both -->
#         <Value>2</Value>
#     </Input>
#     <Input>
#         <Name>MyStop</Name>             <!--  Stop-Loss in USD per contract -->
#         <Value>0</Value>
#     </Input>
#     <OptRange>
#         <Name>POI_switch</Name>         <!-- 1..8:1 -->
#         <Start>1</Start>
#         <Stop>8</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Distance_switch</Name>    <!-- 1..4:1 -->
#         <Start>1</Start>
#         <Stop>4</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>DOW_switch</Name>         <!-- 0..5:1 -->
#         <Start>0</Start>
#         <Stop>5</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Intraday_switch</Name>    <!-- 0..10:1 -->
#         <Start>0</Start>
#         <Stop>10</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Filter1L_switch</Name>    <!-- 0..56:1 -->
#         <Start>0</Start>
#         <Stop>56</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Filter1S_switch</Name>    <!-- 0..56:1 -->
#         <Start>0</Start>
#         <Stop>56</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>MktRegimeL_switch</Name>  <!-- 0..8:1 -->
#         <Start>0</Start>
#         <Stop>8</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>MktRegimeS_switch</Name>  <!-- 0..8:1 -->
#         <Start>0</Start>
#         <Stop>8</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <Input>
#         <Name>DPS_switch</Name>         <!--  0 (false) or 1 (true) -->
#         <Value>0</Value>
#     </Input>
#     <OptRange>
#         <Name>Exit_switch</Name>        <!-- 1..5:1 -->
#         <Start>1</Start>
#         <Stop>1</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>fractN_long</Name>        <!-- 0..4:1 -->
#         <Start>0</Start>
#         <Stop>4</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>fractN_short</Name>       <!-- 0..4:1 -->
#         <Start>0</Start>
#         <Stop>4</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <Input>
#         <Name>epsilon</Name>            <!-- always 0 (used in stability test) -->
#         <Value>0</Value>
#     </Input>
# </Inputs>
#</Strategies/MasterCode.xml>
#
#  Ntrades, AvgTicks,  WinPerc,PftFactor,   NP/MDD,Expectancy,  Z-score,BOMR_switch,Side_switch,   MyStop,POI_switch,Distance_switch,DOW_switch,Intraday_switch,Filter1L_switch,Filter1S_switch,MktRegimeL_switch,MktRegimeS_switch,DPS_switch,Exit_switch,fractN_long,fractN_short,  epsilon,
      103,    18.88,    61.17,     2.07,     7.43,     0.42,     2.85,          2,          2,          0,          6,          1,          5,         10,          0,         28,          0,          0,          0,          1,          0,          0,          0,
      255,    20.47,    61.18,     1.87,     4.42,     0.34,     2.85,          2,          2,          0,          6,          4,          5,          0,          0,         41,          0,          0,          0,          1,          0,          3,          0,
      494,    15.09,    56.07,     1.51,     4.11,     0.22,     2.83,          2,          2,          0,          6,          2,          5,          0,          0,         21,          0,          0,          0,          1,          0,          1,          0,
      256,    19.04,    58.59,     1.85,     4.42,     0.35,     2.82,          2,          2,          0,          6,          3,          5,          0,          0,         41,          0,          0,          0,          1,          0,          0,          0,
      431,    16.05,    55.68,     1.56,     4.08,     0.25,     2.80,          2,          2,          0,          6,          3,          5,          0,          0,         17,          0,          0,          0,          1,          0,          0,          0,
      345,    17.39,    56.81,     1.60,     2.83,     0.26,     2.79,          2,          2,          0,          6,          3,          5,          0,          0,         17,          0,          0,          0,          1,          0,          1,          0,
      459,    16.54,    56.21,     1.53,     4.87,     0.23,     2.77,          2,          2,          0,          6,          4,          5,          0,          0,         21,          0,          0,          0,          1,          0,          3,          0,
      276,    18.39,    56.52,     1.64,     7.38,     0.28,     2.76,          2,          2,          0,          6,          1,          5,         10,          0,         55,          0,          0,          0,          1,          0,          0,          0,
      259,    18.23,    60.23,     1.82,     4.30,     0.33,     2.76,          2,          2,          0,          6,          1,          5,          0,          0,         41,          0,          0,          0,          1,          0,          1,          0,
      225,    20.94,    60.89,     1.91,     4.23,     0.36,     2.76,          2,          2,          0,          6,          2,          5,          0,          0,         41,          0,          0,          0,          1,          0,          2,          0,
      467,    15.82,    54.82,     1.52,     4.57,     0.23,     2.75,          2,          2,          0,          6,          3,          5,          0,          0,         21,          0,          0,          0,          1,          0,          0,          0,
      431,    17.09,    57.77,     1.55,     4.33,     0.23,     2.73,          2,          2,          0,          6,          4,          5,          0,          0,         14,          0,          0,          0,          1,          0,          3,          0,
      453,    15.35,    56.95,     1.52,     3.53,     0.22,     2.73,          2,          2,          0,          6,          2,          5,          0,          0,         17,          0,          0,          0,          1,          0,          1,          0,
      276,    18.34,    56.16,     1.63,     7.32,     0.28,     2.72,          2,          2,          0,          6,          2,          5,         10,          0,         55,          0,          0,          0,          1,          0,          0,          0,
      476,    15.00,    56.93,     1.49,     3.64,     0.21,     2.72,          2,          2,          0,          6,          2,          0,          6,          0,         17,          0,          0,          0,          1,          0,          0,          0,
      377,    17.23,    56.76,     1.61,     4.27,     0.26,     2.72,          2,          2,          0,          6,          2,          5,          0,          0,         17,          0,          0,          0,          1,          0,          2,          0,
      209,    19.32,    61.24,     1.81,     3.72,     0.31,     2.72,          2,          2,          0,          6,          1,          5,          0,          0,         41,          0,          0,          0,          1,          0,          2,          0,
      268,    17.43,    60.07,     1.77,     4.11,     0.31,     2.72,          2,          2,          0,          6,          2,          5,          0,          0,         41,          0,          0,          0,          1,          0,          1,          0,
      102,    18.44,    59.80,     2.01,     6.91,     0.40,     2.72,          2,          2,          0,          6,          2,          5,         10,          0,         28,          0,          0,          0,          1,          0,          0,          0,
      467,    15.37,    57.17,     1.50,     3.40,     0.21,     2.71,          2,          2,          0,          6,          1,          0,          6,          0,         17,          0,          0,          0,          1,          0,          0,          0,
      303,    15.13,    57.10,     1.59,     7.64,     0.25,     2.71,          2,          2,          0,          6,          1,          5,         10,          0,         19,          0,          0,          0,          1,          0,          0,          0,
      376,    13.51,    56.91,     1.46,     6.30,     0.20,     2.70,          2,          2,          0,          6,          1,          5,          0,          0,         13,          0,          0,          0,          1,          0,          1,          0,
      433,    15.63,    56.58,     1.54,     3.72,     0.23,     2.70,          2,          2,          0,          6,          1,          5,          0,          0,         17,          0,          0,          0,          1,          0,          1,          0,
