# TimeStamp   : 2020-07-15 10:12:22
# Strategy    : MasterCode
# Symbol      : W
# TimeFrame   : M10
# Date Range  : 2010-01-04 --> 2019-12-31
#
#<Strategies/MasterCode.xml>
# <?xml version='1.0' encoding='UTF-8'?>
# <!--
# === All parameters need to be INTEGER ===
# 
#  - Main node within <Inputs> and </Inputs>
# 
#  - Fixed-input parameters are with syntax:
# 
#     <Input>
#       <Name>parameter_name</Name>
#       <Value>0.5</Value>
#     </Input>
# 
#  - Optimizable parameter are with syntax:
# 
#     <OptRange>
#       <Name>parameter_name</Name>
#       <Start>1</Start>
#       <Stop>20</Stop>
#       <Step>1</Step>
#     </OptRange>
# 
# For Backtest: only the <Start> value of <OptRange> parameters is read.
# 
# Names of input variables must match those in 'mode_factory_sequential'
# -->
# <Inputs>
#     <Input>
#         <Name>BOMR_switch</Name>        <!-- 1 = BO, 2 = MR -->
#         <Value>1</Value>
#     </Input>
#     <Input>
#         <Name>Side_switch</Name>        <!-- 1 = L, 2 = S, 3 = both -->
#         <Value>2</Value>
#     </Input>
#     <Input>
#         <Name>MyStop</Name>             <!--  Stop-Loss in USD per contract -->
#         <Value>0</Value>
#     </Input>
#     <OptRange>
#         <Name>POI_switch</Name>         <!-- 1..7:1 -->
#         <Start>1</Start>
#         <Stop>7</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Distance_switch</Name>    <!-- 1..4:1 -->
#         <Start>1</Start>
#         <Stop>2</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>DOW_switch</Name>         <!-- 0..5:1 -->
#         <Start>0</Start>
#         <Stop>5</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Intraday_switch</Name>    <!-- 0..10:1 -->
#         <Start>0</Start>
#         <Stop>10</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Filter1L_switch</Name>    <!-- 0..50:1 -->
#         <Start>0</Start>
#         <Stop>42</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Filter1S_switch</Name>    <!-- 0..50:1 -->
#         <Start>0</Start>
#         <Stop>42</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>MktRegimeL_switch</Name>  <!-- 0..8:1 -->
#         <Start>0</Start>
#         <Stop>8</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>MktRegimeS_switch</Name>  <!-- 0..8:1 -->
#         <Start>0</Start>
#         <Stop>8</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <Input>
#         <Name>DPS_switch</Name>         <!--  0 (false) or 1 (true) -->
#         <Value>0</Value>
#     </Input>
#     <OptRange>
#         <Name>fractN_long</Name>        <!-- 0..5:1 -->
#         <Start>0</Start>
#         <Stop>5</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>fractN_short</Name>       <!-- 0..5:1 -->
#         <Start>0</Start>
#         <Stop>5</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <Input>
#         <Name>epsilon</Name>            <!-- always 0 (used in stability test) -->
#         <Value>0</Value>
#     </Input>
# </Inputs>
#</Strategies/MasterCode.xml>
#
#  Ntrades,  AvgTicks,   WinPerc, PftFactor,    NP/MDD, Expectancy,   Z-score, BOMR_switch, Side_switch,    MyStop, POI_switch, Distance_switch, DOW_switch, Intraday_switch, Filter1L_switch, Filter1S_switch, MktRegimeL_switch, MktRegimeS_switch, DPS_switch, fractN_long, fractN_short,   epsilon, 
     1029,      1.66,     48.88,      1.16,      1.67,      0.08,      1.02,           1,           2,           0,           4,           1,           0,           0,           0,           0,           0,           0,           0,           0,           1,           0, 
      294,      5.17,     49.32,      1.50,      5.50,      0.25,      1.01,           1,           2,           0,           4,           2,           0,           0,           0,           0,           0,           0,           0,           0,           4,           0, 
      784,      2.08,     49.49,      1.21,      2.36,      0.11,      1.01,           1,           2,           0,           3,           1,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0, 
      941,      1.78,     48.57,      1.18,      1.90,      0.09,      1.01,           1,           2,           0,           5,           2,           0,           0,           0,           0,           0,           0,           0,           0,           2,           0, 
      287,      5.27,     47.39,      1.48,      4.18,      0.26,      1.01,           1,           2,           0,           5,           2,           0,           0,           0,           0,           0,           0,           0,           0,           4,           0, 
      306,      4.86,     50.00,      1.46,      3.22,      0.23,      1.00,           1,           2,           0,           5,           1,           0,           0,           0,           0,           0,           0,           0,           0,           4,           0, 
      161,      8.88,     49.07,      1.92,      4.24,      0.47,      1.00,           1,           2,           0,           6,           1,           0,           0,           0,           0,           0,           0,           0,           0,           4,           0, 
      345,      4.27,     46.38,      1.45,      2.68,      0.24,      0.99,           1,           2,           0,           6,           2,           0,           0,           0,           0,           0,           0,           0,           0,           3,           0, 
      307,      4.74,     50.16,      1.49,      3.89,      0.24,      0.99,           1,           2,           0,           2,           1,           0,           0,           0,           0,           0,           0,           0,           0,           4,           0, 
       35,      6.83,     45.71,      1.60,      1.93,      0.33,      0.99,           1,           2,           0,           2,           2,           0,           0,           0,           0,           0,           0,           0,           0,           5,           0, 
      318,      4.61,     50.31,      1.45,      3.64,      0.22,      0.98,           1,           2,           0,           4,           1,           0,           0,           0,           0,           0,           0,           0,           0,           4,           0, 
     1106,      1.50,     49.46,      1.15,      1.31,      0.07,      0.98,           1,           2,           0,           5,           2,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0, 
      418,      3.51,     51.44,      1.37,      2.06,      0.18,      0.97,           1,           2,           0,           7,           2,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0, 
      318,      4.53,     48.74,      1.46,      3.23,      0.24,      0.97,           1,           2,           0,           7,           2,           0,           0,           0,           0,           0,           0,           0,           0,           2,           0, 
     1101,      1.47,     49.59,      1.14,      1.34,      0.07,      0.95,           1,           2,           0,           5,           1,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0, 
     1058,      1.51,     49.43,      1.15,      1.47,      0.08,      0.95,           1,           2,           0,           5,           2,           0,           0,           0,           0,           0,           0,           0,           0,           1,           0, 
      317,      4.45,     47.00,      1.44,      3.17,      0.23,      0.95,           1,           2,           0,           7,           1,           0,           0,           0,           0,           0,           0,           0,           0,           2,           0, 
      384,      3.70,     50.78,      1.38,      1.90,      0.19,      0.94,           1,           2,           0,           7,           2,           0,           0,           0,           0,           0,           0,           0,           0,           1,           0, 
      102,     13.27,     50.00,      2.19,      5.16,      0.60,      0.93,           1,           2,           0,           7,           1,           0,           0,           0,           0,           0,           0,           0,           0,           4,           0, 
      493,      2.89,     48.07,      1.30,      2.27,      0.16,      0.93,           1,           2,           0,           6,           2,           0,           0,           0,           0,           0,           0,           0,           0,           2,           0, 
      307,      4.49,     48.21,      1.40,      2.38,      0.21,      0.92,           1,           2,           0,           2,           2,           0,           0,           0,           0,           0,           0,           0,           0,           4,           0, 
      380,      3.64,     51.58,      1.36,      1.80,      0.18,      0.91,           1,           2,           0,           7,           1,           0,           0,           0,           0,           0,           0,           0,           0,           1,           0, 
