# TimeStamp   : 2020-07-30 20:38:22
# Strategy    : MasterCode
# Symbol      : E7
# TimeFrame   : M10
# Date Range  : 2010-01-03 --> 2019-12-31
#
#<Strategies/MasterCode.xml>
# <?xml version='1.0' encoding='UTF-8'?>
# <!--
# === All parameters need to be INTEGER ===
# 
#  - Main node within <Inputs> and </Inputs>
# 
#  - Fixed-input parameters are with syntax:
# 
#     <Input>
#       <Name>parameter_name</Name>
#       <Value>0.5</Value>
#     </Input>
# 
#  - Optimizable parameter are with syntax:
# 
#     <OptRange>
#       <Name>parameter_name</Name>
#       <Start>1</Start>
#       <Stop>20</Stop>
#       <Step>1</Step>
#     </OptRange>
# 
# For Backtest: only the <Start> value of <OptRange> parameters is read.
# 
# Names of input variables must match those in 'mode_factory_sequential'
# 
# Names of optimization variables ("fractN_long", "fractN_short")
# and "Side_switch" must match in 'validation.cpp'
# 
# -->
# <Inputs>
#     <Input>
#         <Name>BOMR_switch</Name>        <!-- 1 = BO, 2 = MR -->
#         <Value>2</Value>
#     </Input>
#     <Input>
#         <Name>Side_switch</Name>        <!-- 1 = L, 2 = S, 3 = both -->
#         <Value>1</Value>
#     </Input>
#     <Input>
#         <Name>MyStop</Name>             <!--  Stop-Loss in USD per contract -->
#         <Value>0</Value>
#     </Input>
#     <OptRange>
#         <Name>POI_switch</Name>         <!-- 1..8:1 -->
#         <Start>1</Start>
#         <Stop>8</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Distance_switch</Name>    <!-- 1..4:1 -->
#         <Start>1</Start>
#         <Stop>4</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>DOW_switch</Name>         <!-- 0..5:1 -->
#         <Start>0</Start>
#         <Stop>5</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Intraday_switch</Name>    <!-- 0..10:1 -->
#         <Start>0</Start>
#         <Stop>10</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Filter1L_switch</Name>    <!-- 0..56:1 -->
#         <Start>0</Start>
#         <Stop>56</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Filter1S_switch</Name>    <!-- 0..56:1 -->
#         <Start>0</Start>
#         <Stop>56</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>MktRegimeL_switch</Name>  <!-- 0..8:1 -->
#         <Start>0</Start>
#         <Stop>8</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>MktRegimeS_switch</Name>  <!-- 0..8:1 -->
#         <Start>0</Start>
#         <Stop>8</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <Input>
#         <Name>DPS_switch</Name>         <!--  0 (false) or 1 (true) -->
#         <Value>0</Value>
#     </Input>
#     <OptRange>
#         <Name>Exit_switch</Name>        <!-- 1..5:1 -->
#         <Start>1</Start>
#         <Stop>1</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>fractN_long</Name>        <!-- 0..4:1 -->
#         <Start>0</Start>
#         <Stop>4</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>fractN_short</Name>       <!-- 0..4:1 -->
#         <Start>0</Start>
#         <Stop>4</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <Input>
#         <Name>epsilon</Name>            <!-- always 0 (used in stability test) -->
#         <Value>0</Value>
#     </Input>
# </Inputs>
#</Strategies/MasterCode.xml>
#
#  Ntrades, AvgTicks,  WinPerc,PftFactor,   NP/MDD,Expectancy,  Z-score,BOMR_switch,Side_switch,   MyStop,POI_switch,Distance_switch,DOW_switch,Intraday_switch,Filter1L_switch,Filter1S_switch,MktRegimeL_switch,MktRegimeS_switch,DPS_switch,Exit_switch,fractN_long,fractN_short,  epsilon,
      196,     4.88,    55.10,     1.33,     2.06,     0.15,     1.16,          2,          1,          0,          8,          3,          0,          0,          1,          0,          0,          0,          0,          1,          1,          0,          0,
      327,     3.30,    54.43,     1.22,     1.86,     0.10,     1.16,          2,          1,          0,          8,          3,          0,          0,         23,          0,          0,          0,          0,          1,          1,          0,          0,
      187,     3.51,    54.55,     1.26,     1.53,     0.12,     1.04,          2,          1,          0,          8,          3,          0,          0,          7,          0,          0,          0,          0,          1,          1,          0,          0,
       48,     7.17,    58.33,     1.49,     1.59,     0.20,     0.99,          2,          1,          0,          8,          3,          0,          0,         51,          0,          0,          0,          0,          1,          1,          0,          0,
       48,     7.17,    58.33,     1.49,     1.59,     0.20,     0.99,          2,          1,          0,          8,          3,          0,          0,         20,          0,          0,          0,          0,          1,          1,          0,          0,
       87,     6.83,    55.17,     1.46,     1.05,     0.21,     0.99,          2,          1,          0,          8,          3,          0,          0,         21,          0,          0,          0,          0,          1,          1,          0,          0,
       30,    15.07,    66.67,     2.18,     2.42,     0.39,     0.97,          2,          1,          0,          8,          3,          0,          0,         30,          0,          0,          0,          0,          1,          1,          0,          0,
       30,     5.23,    56.67,     1.55,     1.19,     0.24,     0.94,          2,          1,          0,          8,          3,          0,          0,         47,          0,          0,          0,          0,          1,          1,          0,          0,
      258,     2.57,    55.43,     1.19,     1.21,     0.09,     0.94,          2,          1,          0,          8,          3,          0,          0,          6,          0,          0,          0,          0,          1,          1,          0,          0,
       85,     4.68,    62.35,     1.31,     0.69,     0.12,     0.79,          2,          1,          0,          8,          3,          0,          0,         36,          0,          0,          0,          0,          1,          1,          0,          0,
       50,     5.10,    68.00,     1.34,     0.87,     0.11,     0.72,          2,          1,          0,          8,          3,          0,          0,         38,          0,          0,          0,          0,          1,          1,          0,          0,
       31,     5.32,    64.52,     1.44,     0.94,     0.16,     0.62,          2,          1,          0,          8,          3,          0,          0,         24,          0,          0,          0,          0,          1,          1,          0,          0,
      123,     2.22,    53.66,     1.14,     0.60,     0.06,     0.54,          2,          1,          0,          8,          3,          0,          0,         18,          0,          0,          0,          0,          1,          1,          0,          0,
      100,     1.69,    57.00,     1.17,     0.51,     0.08,     0.53,          2,          1,          0,          8,          3,          0,          0,         14,          0,          0,          0,          0,          1,          1,          0,          0,
      206,     1.44,    56.31,     1.10,     0.56,     0.04,     0.51,          2,          1,          0,          8,          3,          0,          0,          2,          0,          0,          0,          0,          1,          1,          0,          0,
      199,     1.30,    53.77,     1.11,     0.48,     0.05,     0.47,          2,          1,          0,          8,          3,          0,          0,         12,          0,          0,          0,          0,          1,          1,          0,          0,
      104,     0.80,    56.73,     1.09,     0.35,     0.04,     0.29,          2,          1,          0,          8,          3,          0,          0,         17,          0,          0,          0,          0,          1,          1,          0,          0,
       52,     0.46,    48.08,     1.09,     0.25,     0.04,     0.20,          2,          1,          0,          8,          3,          0,          0,         10,          0,          0,          0,          0,          1,          1,          0,          0,
       27,    17.74,    74.07,     2.68,     3.50,     0.44,     0.00,          2,          1,          0,          8,          3,          0,          0,         27,          0,          0,          0,          0,          1,          1,          0,          0,
       25,    20.84,    60.00,     2.08,     3.32,     0.43,     0.00,          2,          1,          0,          8,          3,          0,          0,         32,          0,          0,          0,          0,          1,          1,          0,          0,
        4,    45.25,    75.00,     2.79,     1.79,     0.45,     0.00,          2,          1,          0,          8,          3,          0,          0,         54,          0,          0,          0,          0,          1,          1,          0,          0,
       20,    10.30,    60.00,     1.70,     2.09,     0.28,     0.00,          2,          1,          0,          8,          3,          0,          0,         41,          0,          0,          0,          0,          1,          1,          0,          0,
        0,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,          2,          1,          0,          8,          3,          0,          0,         34,          0,          0,          0,          0,          1,          1,          0,          0,
