2010-11-29, 1.4321
2010-11-30, 1.419
2010-12-01, 1.4334
2010-12-02, 1.4406
2010-12-03, 1.4614
2010-12-06, 1.4497
2010-12-07, 1.4456
2010-12-08, 1.4461
2010-12-09, 1.4438
2010-12-10, 1.4427
2010-12-13, 1.4587
2010-12-14, 1.4581
2010-12-15, 1.4416
2010-12-16, 1.445
2010-12-17, 1.4394
2010-12-20, 1.433
2010-12-21, 1.43
2010-12-22, 1.4302
2010-12-23, 1.4313
2010-12-27, 1.4373
2010-12-28, 1.4308
2010-12-29, 1.4428
2010-12-30, 1.4489
2010-12-31, 1.4559
2011-01-03, 1.4566
2011-01-04, 1.4511
2011-01-05, 1.4349
2011-01-06, 1.4205
2011-01-07, 1.4112
2011-01-10, 1.4151
2011-01-11, 1.4177
2011-01-12, 1.4338
2011-01-13, 1.4566
2011-01-14, 1.4581
2011-01-17, 1.4494
2011-01-19, 1.4676
2011-01-21, 1.4824
2011-01-24, 1.4837
2011-01-25, 1.4876
2011-01-26, 1.491
2011-01-27, 1.4932
2011-01-28, 1.481
2011-01-31, 1.4892
2011-02-01, 1.5027
2011-02-02, 1.5009
2011-02-03, 1.484
2011-02-04, 1.4783
2011-02-07, 1.4785
2011-02-08, 1.4826
2011-02-09, 1.4931
2011-02-10, 1.4801
2011-02-11, 1.4753
2011-02-14, 1.4693
2011-02-15, 1.4687
2011-02-16, 1.4772
2011-02-17, 1.4813
2011-02-18, 1.4899
2011-02-21, 1.4875
2011-02-22, 1.4851
2011-02-23, 1.4951
2011-02-24, 1.5002
2011-02-25, 1.4957
2011-02-28, 1.5008
2011-03-01, 1.4981
2011-03-02, 1.5071
2011-03-03, 1.5173
2011-03-04, 1.5194
2011-03-08, 1.5112
2011-03-09, 1.5116
2011-03-10, 1.5004
2011-03-11, 1.5115
2011-03-14, 1.5201
2011-03-15, 1.5207
2011-03-16, 1.5109
2011-03-17, 1.5229
2011-03-18, 1.5389
2011-03-21, 1.5436
2011-03-22, 1.5402
2011-03-23, 1.5299
2011-03-24, 1.5387
2011-03-25, 1.5297
2011-03-28, 1.5295
2011-03-29, 1.5319
2011-03-31, 1.5362
2011-04-01, 1.5434
2011-04-04, 1.543
2011-04-06, 1.554
2011-04-07, 1.5513
2011-04-08, 1.5694
2011-04-11, 1.5645
