# TimeStamp   : 2020-07-20 15:26:11
# Strategy    : BOMRcharacter
# Symbol      : NG
# TimeFrame   : D
# Date Range  : 2001-05-14 --> 2019-12-31
#
#<Strategies/BOMRcharacter.xml>
# <?xml version='1.0' encoding='UTF-8'?>
# <!--
# -->
# <Inputs>
#     <Input>
#         <Name>MyStop</Name>             <!--  Stop-Loss in USD per contract -->
#         <Value>0</Value>
#     </Input>
#     <Input>
#         <Name>BOMR_switch</Name>        <!-- 1 = BO, 2 = MR -->
#         <Value>2</Value>
#     </Input>
#     <OptRange>
#         <Name>Nbars</Name>              <!-- 3..30:3 -->
#         <Start>3</Start>
#         <Stop>30</Stop>
#         <Step>3</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Xbars</Name>              <!-- 3..30:3 -->
#         <Start>3</Start>
#         <Stop>30</Stop>
#         <Step>3</Step>
#     </OptRange>
#     <Input>
#         <Name>epsilon</Name>            <!-- always 0 (used in stability test) -->
#         <Value>0</Value>
#     </Input>
# </Inputs>
#</Strategies/BOMRcharacter.xml>
#
#  Ntrades, AvgTicks,  WinPerc,PftFactor,   NP/MDD,Expectancy,  Z-score,   MyStop,BOMR_switch,    Nbars,    Xbars,  epsilon,
      158,    -6.51,     48.73,      0.98,     -0.14,     -0.01,     -0.09,           0,          2,         24,         21,          0,
      148,    -6.61,     50.68,      0.98,     -0.13,     -0.01,     -0.09,           0,          2,         21,         24,          0,
      161,    -6.81,     53.42,      0.98,     -0.07,     -0.01,     -0.10,           0,          2,          9,         24,          0,
      435,    -2.28,     50.11,      0.98,     -0.10,     -0.01,     -0.10,           0,          2,          9,          6,          0,
      659,    -2.48,     49.47,      0.98,     -0.15,     -0.01,     -0.19,           0,          2,          6,          3,          0,
      358,    -5.53,     48.32,      0.97,     -0.18,     -0.02,     -0.20,           0,          2,          6,          9,          0,
      268,    -7.19,     49.63,      0.96,     -0.13,     -0.02,     -0.20,           0,          2,         12,         12,          0,
      187,   -10.53,     51.34,      0.96,     -0.21,     -0.02,     -0.21,           0,          2,         21,         18,          0,
      190,   -13.07,     47.37,      0.95,     -0.25,     -0.02,     -0.21,           0,          2,          3,         21,          0,
      258,    -7.62,     48.45,      0.96,     -0.13,     -0.02,     -0.21,           0,          2,         15,         12,          0,
      130,   -16.05,     54.62,      0.94,     -0.14,     -0.03,     -0.22,           0,          2,         30,         27,          0,
      211,   -11.59,     48.82,      0.95,     -0.16,     -0.02,     -0.23,           0,          2,          6,         18,          0,
      244,    -8.69,     45.90,      0.95,     -0.24,     -0.03,     -0.25,           0,          2,         30,          9,          0,
      265,    -9.42,     46.79,      0.95,     -0.26,     -0.03,     -0.28,           0,          2,         24,          9,          0,
      279,   -10.60,     49.82,      0.95,     -0.19,     -0.03,     -0.30,           0,          2,          9,         12,          0,
      298,    -9.47,     50.00,      0.95,     -0.20,     -0.03,     -0.32,           0,          2,         18,          9,          0,
      122,   -29.53,     53.28,      0.91,     -0.38,     -0.04,     -0.35,           0,          2,         21,         30,          0,
      236,   -16.86,     50.85,      0.92,     -0.32,     -0.04,     -0.42,           0,          2,         21,         12,          0,
      309,   -11.72,     49.51,      0.92,     -0.35,     -0.04,     -0.44,           0,          2,         27,          6,          0,
      289,   -12.43,     46.02,      0.92,     -0.32,     -0.04,     -0.44,           0,          2,         30,          6,          0,
      195,   -22.33,     49.23,      0.91,     -0.42,     -0.05,     -0.47,           0,          2,         15,         18,          0,
      345,   -12.94,     48.99,      0.92,     -0.40,     -0.04,     -0.50,           0,          2,          9,          9,          0,
      164,   -32.02,     46.95,      0.88,     -0.47,     -0.06,     -0.50,           0,          2,         30,         18,          0,
      597,    -6.93,     48.07,      0.94,     -0.37,     -0.03,     -0.50,           0,          2,          9,          3,          0,
      254,   -18.17,     46.06,      0.90,     -0.53,     -0.05,     -0.54,           0,          2,         27,          9,          0,
      366,   -13.74,     49.45,      0.91,     -0.38,     -0.05,     -0.58,           0,          2,         18,          6,          0,
      235,   -28.31,     48.94,      0.89,     -0.38,     -0.06,     -0.58,           0,          2,          9,         15,          0,
      315,   -17.94,     48.89,      0.90,     -0.39,     -0.05,     -0.61,           0,          2,         15,          9,          0,
      246,   -23.80,     49.19,      0.89,     -0.34,     -0.06,     -0.62,           0,          2,         18,         12,          0,
      279,   -20.05,     48.75,      0.89,     -0.39,     -0.06,     -0.64,           0,          2,         21,          9,          0,
      173,   -39.38,     48.55,      0.85,     -0.60,     -0.08,     -0.65,           0,          2,         27,         18,          0,
      165,   -47.76,     45.45,      0.83,     -0.63,     -0.09,     -0.73,           0,          2,         21,         21,          0,
      384,   -16.91,     48.18,      0.89,     -0.58,     -0.06,     -0.73,           0,          2,         15,          6,          0,
      150,   -51.27,     48.67,      0.84,     -0.47,     -0.08,     -0.74,           0,          2,          6,         27,          0,
      331,   -21.26,     49.24,      0.88,     -0.44,     -0.06,     -0.75,           0,          2,         12,          9,          0,
      473,   -11.76,     46.51,      0.89,     -0.50,     -0.06,     -0.80,           0,          2,         18,          3,          0,
      320,   -20.87,     47.50,      0.87,     -0.56,     -0.07,     -0.82,           0,          2,         24,          6,          0,
      547,   -13.01,     46.80,      0.89,     -0.61,     -0.06,     -0.90,           0,          2,         12,          3,          0,
      245,   -40.26,     47.35,      0.84,     -0.50,     -0.09,     -0.93,           0,          2,          6,         15,          0,
      204,   -52.50,     51.47,      0.81,     -0.52,     -0.09,     -0.97,           0,          2,          9,         18,          0,
      506,   -14.72,     46.84,      0.87,     -0.58,     -0.07,     -1.00,           0,          2,         15,          3,          0,
      442,   -18.27,     47.51,      0.84,     -0.66,     -0.08,     -1.19,           0,          2,         21,          3,          0,
      399,   -28.01,     46.62,      0.83,     -0.69,     -0.09,     -1.22,           0,          2,         12,          6,          0,
      341,   -30.48,     47.51,      0.81,     -0.65,     -0.10,     -1.23,           0,          2,         21,          6,          0,
      368,   -26.97,     47.28,      0.78,     -0.72,     -0.12,     -1.55,           0,          2,         30,          3,          0,
      388,   -26.56,     45.62,      0.77,     -0.81,     -0.12,     -1.60,           0,          2,         27,          3,          0,
      218,   -85.40,     47.25,      0.71,     -0.89,     -0.15,     -1.64,           0,          2,          3,         18,          0,
      412,   -27.84,     46.12,      0.76,     -0.79,     -0.13,     -1.74,           0,          2,         24,          3,          0,
