# TimeStamp   : 2020-08-17 11:06:11
# Strategy    : GC1
# Symbol      : GC
# TimeFrame   : M10
# Date Range  : 2010-01-03 --> 2019-12-31
#
#  Ntrades, AvgTicks,  WinPerc,PftFactor,   NP/MDD,Expectancy,  Z-score,Side_switch,   MyStop,fractN_long,fractN_short,  epsilon,
      324,    15.29,    55.25,     1.59,     6.65,     0.26,     2.88,          1,          0,          0,          0,          0,
      331,    10.83,    53.78,     1.38,     4.68,     0.17,     2.03,          1,          0,          0,          0,          0,
      330,    12.73,    52.73,     1.46,     5.67,     0.22,     2.37,          1,          0,          0,          0,          0,
      333,    10.99,    50.15,     1.39,     4.62,     0.20,     2.09,          1,          0,          0,          0,          0,
      328,    11.17,    53.96,     1.39,     4.08,     0.18,     2.04,          1,          0,          0,          0,          0,
      332,    11.83,    51.51,     1.41,     3.81,     0.20,     2.16,          1,          0,          0,          0,          0,
      329,    11.30,    51.67,     1.39,     6.99,     0.19,     2.08,          1,          0,          0,          0,          0,
      336,    13.33,    52.08,     1.51,     7.57,     0.24,     2.64,          1,          0,          0,          0,          0,
      332,    12.16,    51.20,     1.44,     5.53,     0.22,     2.32,          1,          0,          0,          0,          0,
      333,    11.76,    53.45,     1.42,     4.82,     0.19,     2.18,          1,          0,          0,          0,          0,
      333,    10.24,    50.45,     1.36,     5.62,     0.18,     1.93,          1,          0,          0,          0,          0,
      326,    13.92,    54.60,     1.51,     6.01,     0.23,     2.63,          1,          0,          0,          0,          0,
      336,    12.19,    54.17,     1.47,     6.76,     0.21,     2.41,          1,          0,          0,          0,          0,
      335,     7.33,    50.75,     1.24,     3.01,     0.12,     1.38,          1,          0,          0,          0,          0,
      331,    10.55,    51.36,     1.35,     5.90,     0.17,     1.91,          1,          0,          0,          0,          0,
      333,     9.64,    52.25,     1.32,     3.56,     0.15,     1.74,          1,          0,          0,          0,          0,
      338,    11.02,    51.48,     1.38,     2.61,     0.19,     2.07,          1,          0,          0,          0,          0,
      327,    10.94,    54.13,     1.38,     3.52,     0.18,     1.98,          1,          0,          0,          0,          0,
      334,     9.39,    52.10,     1.31,     4.92,     0.15,     1.71,          1,          0,          0,          0,          0,
      330,    14.07,    52.12,     1.54,     6.20,     0.26,     2.72,          1,          0,          0,          0,          0,
      331,    11.54,    52.27,     1.40,     4.63,     0.19,     2.10,          1,          0,          0,          0,          0,
      324,    13.48,    52.78,     1.50,     6.44,     0.23,     2.47,          1,          0,          0,          0,          0,
      325,    11.87,    54.15,     1.41,     4.25,     0.19,     2.11,          1,          0,          0,          0,          0,
      325,    12.59,    52.31,     1.45,     3.45,     0.21,     2.26,          1,          0,          0,          0,          0,
      326,    12.66,    53.07,     1.45,     6.26,     0.21,     2.33,          1,          0,          0,          0,          0,
      329,    12.18,    53.80,     1.45,     6.04,     0.21,     2.30,          1,          0,          0,          0,          0,
      329,    11.99,    53.50,     1.43,     4.21,     0.20,     2.24,          1,          0,          0,          0,          0,
      330,    13.80,    53.33,     1.53,     5.26,     0.25,     2.66,          1,          0,          0,          0,          0,
      326,    13.15,    53.37,     1.49,     5.48,     0.23,     2.49,          1,          0,          0,          0,          0,
      322,    12.07,    53.42,     1.44,     5.59,     0.20,     2.24,          1,          0,          0,          0,          0,
      339,     9.43,    51.62,     1.32,     3.69,     0.16,     1.74,          1,          0,          0,          0,          0,
      331,    11.25,    51.96,     1.39,     5.25,     0.19,     2.07,          1,          0,          0,          0,          0,
      322,    12.12,    54.04,     1.43,     5.80,     0.20,     2.21,          1,          0,          0,          0,          0,
      331,    14.10,    54.38,     1.53,     7.46,     0.24,     2.68,          1,          0,          0,          0,          0,
      338,     9.83,    52.37,     1.33,     3.54,     0.16,     1.78,          1,          0,          0,          0,          0,
      334,    11.91,    54.49,     1.44,     5.55,     0.20,     2.29,          1,          0,          0,          0,          0,
      329,     9.61,    51.98,     1.32,     3.59,     0.15,     1.73,          1,          0,          0,          0,          0,
      329,    12.58,    55.32,     1.45,     7.10,     0.20,     2.34,          1,          0,          0,          0,          0,
      327,    12.86,    53.82,     1.47,     3.56,     0.22,     2.33,          1,          0,          0,          0,          0,
      332,    10.35,    50.90,     1.36,     3.37,     0.18,     1.91,          1,          0,          0,          0,          0,
      333,    13.00,    52.55,     1.48,     6.63,     0.23,     2.44,          1,          0,          0,          0,          0,
      331,    10.91,    52.87,     1.39,     4.09,     0.18,     2.04,          1,          0,          0,          0,          0,
      328,    15.19,    55.79,     1.59,     7.33,     0.26,     2.89,          1,          0,          0,          0,          0,
      328,    11.24,    53.66,     1.40,     5.78,     0.18,     2.06,          1,          0,          0,          0,          0,
      338,    10.41,    51.18,     1.38,     4.33,     0.19,     2.04,          1,          0,          0,          0,          0,
      327,    13.62,    53.21,     1.52,     7.78,     0.24,     2.63,          1,          0,          0,          0,          0,
      338,     9.99,    49.70,     1.35,     5.24,     0.17,     1.89,          1,          0,          0,          0,          0,
      329,    13.37,    53.19,     1.48,     5.37,     0.23,     2.49,          1,          0,          0,          0,          0,
      323,    15.06,    54.18,     1.59,     7.28,     0.27,     2.89,          1,          0,          0,          0,          0,
      328,    13.36,    54.27,     1.50,     8.55,     0.23,     2.51,          1,          0,          0,          0,          0,
      335,    11.98,    52.24,     1.42,     3.85,     0.20,     2.21,          1,          0,          0,          0,          0,
      325,    13.76,    53.54,     1.52,     4.94,     0.24,     2.60,          1,          0,          0,          0,          0,
      325,    13.83,    53.23,     1.52,     7.39,     0.24,     2.59,          1,          0,          0,          0,          0,
      333,    13.47,    51.95,     1.50,     8.53,     0.24,     2.53,          1,          0,          0,          0,          0,
      331,    10.25,    51.66,     1.35,     2.94,     0.17,     1.91,          1,          0,          0,          0,          0,
      329,    12.17,    51.67,     1.44,     5.34,     0.21,     2.33,          1,          0,          0,          0,          0,
      337,    10.71,    51.93,     1.37,     5.33,     0.18,     2.00,          1,          0,          0,          0,          0,
      333,    10.37,    52.55,     1.36,     4.18,     0.17,     1.90,          1,          0,          0,          0,          0,
      329,    12.91,    52.28,     1.48,     5.65,     0.23,     2.42,          1,          0,          0,          0,          0,
      324,    14.45,    55.56,     1.57,     8.98,     0.25,     2.79,          1,          0,          0,          0,          0,
      325,    11.78,    53.54,     1.41,     3.97,     0.19,     2.11,          1,          0,          0,          0,          0,
      331,    11.10,    53.17,     1.39,     3.98,     0.18,     2.07,          1,          0,          0,          0,          0,
      330,    11.69,    52.73,     1.41,     6.14,     0.20,     2.19,          1,          0,          0,          0,          0,
      328,    11.13,    54.27,     1.38,     3.21,     0.18,     2.00,          1,          0,          0,          0,          0,
      328,    10.98,    51.83,     1.39,     6.06,     0.19,     2.02,          1,          0,          0,          0,          0,
      332,     9.45,    53.31,     1.32,     2.66,     0.15,     1.71,          1,          0,          0,          0,          0,
      324,    15.47,    54.63,     1.61,     7.55,     0.28,     2.96,          1,          0,          0,          0,          0,
      335,    11.43,    53.43,     1.41,     4.36,     0.19,     2.23,          1,          0,          0,          0,          0,
      331,    14.61,    52.87,     1.55,     9.27,     0.26,     2.69,          1,          0,          0,          0,          0,
      331,    10.47,    51.96,     1.36,     5.32,     0.17,     1.89,          1,          0,          0,          0,          0,
      333,    11.39,    52.85,     1.40,     5.58,     0.19,     2.12,          1,          0,          0,          0,          0,
      330,    11.81,    52.42,     1.43,     6.16,     0.20,     2.24,          1,          0,          0,          0,          0,
      334,     8.72,    50.60,     1.29,     2.57,     0.14,     1.58,          1,          0,          0,          0,          0,
      330,     7.86,    51.52,     1.25,     2.42,     0.12,     1.39,          1,          0,          0,          0,          0,
      336,    10.60,    52.08,     1.37,     3.11,     0.18,     2.00,          1,          0,          0,          0,          0,
      327,    14.44,    53.82,     1.54,    10.50,     0.25,     2.66,          1,          0,          0,          0,          0,
      334,     8.62,    52.40,     1.29,     2.47,     0.14,     1.58,          1,          0,          0,          0,          0,
      331,    13.01,    51.36,     1.48,     5.91,     0.23,     2.40,          1,          0,          0,          0,          0,
      332,    11.34,    51.20,     1.41,     4.93,     0.20,     2.18,          1,          0,          0,          0,          0,
      326,    15.14,    53.99,     1.58,     6.36,     0.27,     2.86,          1,          0,          0,          0,          0,
