# TimeStamp   : 2020-07-15 20:02:18
# Strategy    : MasterCode
# Symbol      : GC
# TimeFrame   : M10
# Date Range  : 2011-01-03 --> 2019-12-31
#
#  Ntrades,  AvgTicks,   WinPerc, PftFactor,    NP/MDD, Expectancy,   Z-score, BOMR_switch, Side_switch,    MyStop, POI_switch, Distance_switch, DOW_switch, Intraday_switch, Filter1L_switch, Filter1S_switch, MktRegimeL_switch, MktRegimeS_switch, DPS_switch, Exit_switch, fractN_long, fractN_short,   epsilon,
      337,     12.31,     49.85,      1.39,      4.68,      0.20,      2.22,           1,           1,           0,           6,           2,           0,           0,           0,           0,           7,           0,           1,           1,           2,           0,           0,
      337,     12.31,     49.85,      1.35,      4.19,      0.18,      2.07,           1,           1,           0,           6,           2,           0,           0,           0,           0,           0,           0,           0,           1,           2,           0,           0,
