# TimeStamp   : 2020-07-15 10:21:02
# Strategy    : MasterCode
# Symbol      : C
# TimeFrame   : M10
# Date Range  : 2010-01-04 --> 2019-12-30
#
#<Strategies/MasterCode.xml>
# <?xml version='1.0' encoding='UTF-8'?>
# <!--
# === All parameters need to be INTEGER ===
# 
#  - Main node within <Inputs> and </Inputs>
# 
#  - Fixed-input parameters are with syntax:
# 
#     <Input>
#       <Name>parameter_name</Name>
#       <Value>0.5</Value>
#     </Input>
# 
#  - Optimizable parameter are with syntax:
# 
#     <OptRange>
#       <Name>parameter_name</Name>
#       <Start>1</Start>
#       <Stop>20</Stop>
#       <Step>1</Step>
#     </OptRange>
# 
# For Backtest: only the <Start> value of <OptRange> parameters is read.
# 
# Names of input variables must match those in 'mode_factory_sequential'
# -->
# <Inputs>
#     <Input>
#         <Name>BOMR_switch</Name>        <!-- 1 = BO, 2 = MR -->
#         <Value>1</Value>
#     </Input>
#     <Input>
#         <Name>Side_switch</Name>        <!-- 1 = L, 2 = S, 3 = both -->
#         <Value>1</Value>
#     </Input>
#     <Input>
#         <Name>MyStop</Name>             <!--  Stop-Loss in USD per contract -->
#         <Value>0</Value>
#     </Input>
#     <OptRange>
#         <Name>POI_switch</Name>         <!-- 1..7:1 -->
#         <Start>1</Start>
#         <Stop>7</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Distance_switch</Name>    <!-- 1..4:1 -->
#         <Start>1</Start>
#         <Stop>2</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>DOW_switch</Name>         <!-- 0..5:1 -->
#         <Start>0</Start>
#         <Stop>5</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Intraday_switch</Name>    <!-- 0..10:1 -->
#         <Start>0</Start>
#         <Stop>10</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Filter1L_switch</Name>    <!-- 0..50:1 -->
#         <Start>0</Start>
#         <Stop>42</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>Filter1S_switch</Name>    <!-- 0..50:1 -->
#         <Start>0</Start>
#         <Stop>42</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>MktRegimeL_switch</Name>  <!-- 0..8:1 -->
#         <Start>0</Start>
#         <Stop>8</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>MktRegimeS_switch</Name>  <!-- 0..8:1 -->
#         <Start>0</Start>
#         <Stop>8</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <Input>
#         <Name>DPS_switch</Name>         <!--  0 (false) or 1 (true) -->
#         <Value>0</Value>
#     </Input>
#     <OptRange>
#         <Name>fractN_long</Name>        <!-- 0..5:1 -->
#         <Start>0</Start>
#         <Stop>5</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <OptRange>
#         <Name>fractN_short</Name>       <!-- 0..5:1 -->
#         <Start>0</Start>
#         <Stop>5</Stop>
#         <Step>1</Step>
#     </OptRange>
#     <Input>
#         <Name>epsilon</Name>            <!-- always 0 (used in stability test) -->
#         <Value>0</Value>
#     </Input>
# </Inputs>
#</Strategies/MasterCode.xml>
#
#  Ntrades,  AvgTicks,   WinPerc, PftFactor,    NP/MDD, Expectancy,   Z-score, BOMR_switch, Side_switch,    MyStop, POI_switch, Distance_switch, DOW_switch, Intraday_switch, Filter1L_switch, Filter1S_switch, MktRegimeL_switch, MktRegimeS_switch, DPS_switch, fractN_long, fractN_short,   epsilon, 
      227,      0.37,     51.54,      1.06,      0.29,      0.03,      0.20,           1,           1,           0,           3,           2,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0, 
       90,      0.66,     55.56,      1.09,      0.18,      0.04,      0.19,           1,           1,           0,           2,           2,           0,           0,           0,           0,           0,           0,           0,           4,           0,           0, 
      177,      0.42,     50.85,      1.06,      0.24,      0.03,      0.17,           1,           1,           0,           3,           2,           0,           0,           0,           0,           0,           0,           0,           2,           0,           0, 
      231,      0.29,     50.22,      1.05,      0.22,      0.02,      0.16,           1,           1,           0,           3,           1,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0, 
      191,      0.30,     49.74,      1.04,      0.17,      0.02,      0.14,           1,           1,           0,           2,           1,           0,           0,           0,           0,           0,           0,           0,           3,           0,           0, 
      213,      0.25,     51.17,      1.04,      0.17,      0.02,      0.12,           1,           1,           0,           3,           2,           0,           0,           0,           0,           0,           0,           0,           1,           0,           0, 
      213,      0.16,     51.17,      1.02,      0.11,      0.01,      0.08,           1,           1,           0,           3,           1,           0,           0,           0,           0,           0,           0,           0,           1,           0,           0, 
       30,      0.73,     50.00,      1.06,      0.08,      0.03,      0.07,           1,           1,           0,           7,           1,           0,           0,           0,           0,           0,           0,           0,           4,           0,           0, 
       15,     -2.52,     33.33,      0.72,     -0.56,     -0.19,      0.00,           1,           1,           0,           5,           2,           0,           0,           0,           0,           0,           0,           0,           5,           0,           0, 
       11,    -12.40,     45.45,      0.56,     -0.44,     -0.24,      0.00,           1,           1,           0,           7,           1,           0,           0,           0,           0,           0,           0,           0,           5,           0,           0, 
        5,    -13.10,     20.00,      0.22,     -1.00,     -0.63,      0.00,           1,           1,           0,           7,           2,           0,           0,           0,           0,           0,           0,           0,           5,           0,           0, 
       11,    -39.60,     45.45,      0.26,     -0.78,     -0.40,      0.00,           1,           1,           0,           1,           2,           0,           0,           0,           0,           0,           0,           0,           5,           0,           0, 
       17,     -2.79,     29.41,      0.68,     -0.69,     -0.23,      0.00,           1,           1,           0,           4,           2,           0,           0,           0,           0,           0,           0,           0,           5,           0,           0, 
       29,     -4.49,     41.38,      0.71,     -0.41,     -0.17,      0.00,           1,           1,           0,           5,           1,           0,           0,           0,           0,           0,           0,           0,           5,           0,           0, 
       15,     -5.15,     33.33,      0.52,     -0.88,     -0.32,      0.00,           1,           1,           0,           2,           2,           0,           0,           0,           0,           0,           0,           0,           5,           0,           0, 
        7,     -9.04,     28.57,      0.31,     -0.90,     -0.49,      0.00,           1,           1,           0,           6,           2,           0,           0,           0,           0,           0,           0,           0,           5,           0,           0, 
       19,     -4.98,     52.63,      0.72,     -0.30,     -0.13,      0.00,           1,           1,           0,           3,           1,           0,           0,           0,           0,           0,           0,           0,           5,           0,           0, 
       14,     -5.16,     57.14,      0.75,     -0.26,     -0.11,      0.00,           1,           1,           0,           6,           1,           0,           0,           0,           0,           0,           0,           0,           5,           0,           0, 
       20,    -33.59,     50.00,      0.28,     -0.83,     -0.36,      0.00,           1,           1,           0,           1,           1,           0,           0,           0,           0,           0,           0,           0,           5,           0,           0, 
       29,    -22.60,     44.83,      0.34,     -0.81,     -0.37,      0.00,           1,           1,           0,           2,           1,           0,           0,           0,           0,           0,           0,           0,           5,           0,           0, 
       10,      1.60,     60.00,      1.27,      0.27,      0.11,      0.00,           1,           1,           0,           3,           2,           0,           0,           0,           0,           0,           0,           0,           5,           0,           0, 
