# TimeStamp   : 2020-08-04 07:19:05
# Strategy    : MasterCode
# Symbol      : RTY
# TimeFrame   : M10
# Date Range  : 2010-01-01 --> 2019-12-31
#
#  Ntrades, AvgTicks,  WinPerc,PftFactor,   NP/MDD,Expectancy,  Z-score,BOMR_switch,Side_switch,   MyStop,POI_switch,Distance_switch,DOW_switch,Intraday_switch,Filter1L_switch,Filter1S_switch,MktRegimeL_switch,MktRegimeS_switch,DPS_switch,Exit_switch,fractN_long,fractN_short,  epsilon,
      321,    42.69,    60.44,     1.60,     5.90,     0.24,     2.45,          2,          1,          0,          4,          2,          0,          0,          6,          0,          0,          0,          0,          2,          1,          0,          0,
      300,    13.66,    53.67,     1.46,     7.55,     0.21,     2.44,          2,          1,          0,          4,          1,          1,          3,          1,          0,          0,          0,          0,          1,          2,          0,          0,
      304,    42.56,    59.21,     1.65,     7.28,     0.27,     2.44,          2,          1,          0,          1,          4,          0,          0,         17,          0,          0,          0,          0,          2,          4,          0,          0,
      318,    41.59,    60.38,     1.61,     6.79,     0.24,     2.42,          2,          1,          0,          1,          2,          0,          0,         17,          0,          0,          0,          0,          2,          2,          0,          0,
      355,    12.25,    53.80,     1.41,     7.18,     0.19,     2.42,          2,          1,          0,          4,          4,          1,          3,          1,          0,          0,          0,          0,          1,          2,          0,          0,
      309,    44.00,    60.19,     1.62,     4.67,     0.25,     2.41,          2,          1,          0,          1,          2,          0,          0,          1,          0,          0,          0,          0,          2,          2,          0,          0,
      300,    44.52,    60.00,     1.63,     6.11,     0.25,     2.40,          2,          1,          0,          1,          3,          0,          0,          1,          0,          0,          0,          0,          2,          1,          0,          0,
      297,    42.58,    59.60,     1.65,     5.53,     0.26,     2.40,          2,          1,          0,          1,          1,          0,          0,         17,          0,          0,          0,          0,          2,          3,          0,          0,
      322,    41.48,    60.25,     1.59,     5.77,     0.23,     2.39,          2,          1,          0,          4,          4,          0,          0,          6,          0,          0,          0,          0,          2,          2,          0,          0,
      313,    42.42,    59.42,     1.59,     6.04,     0.24,     2.38,          2,          1,          0,          4,          1,          0,          0,          6,          0,          0,          0,          0,          2,          2,          0,          0,
      331,    40.78,    60.42,     1.56,     6.26,     0.22,     2.38,          2,          1,          0,          1,          4,          0,          0,         39,          0,          0,          0,          0,          2,          4,          0,          0,
      304,    44.19,    61.18,     1.62,     5.98,     0.24,     2.38,          2,          1,          0,          1,          1,          0,          0,         22,          0,          0,          0,          0,          2,          3,          0,          0,
      333,    41.36,    60.36,     1.54,     5.75,     0.22,     2.38,          2,          1,          0,          1,          4,          0,          0,          0,          0,          0,          0,          0,          2,          4,          0,          0,
      310,    41.95,    58.71,     1.61,     6.77,     0.25,     2.38,          2,          1,          0,          1,          3,          0,          0,         17,          0,          0,          0,          0,          2,          1,          0,          0,
      317,    41.91,    59.62,     1.59,     5.77,     0.24,     2.38,          2,          1,          0,          4,          3,          0,          0,          6,          0,          0,          0,          0,          2,          0,          0,          0,
      312,    42.47,    59.29,     1.59,     4.06,     0.24,     2.37,          2,          1,          0,          2,          4,          5,          0,          1,          0,          0,          0,          0,          2,          2,          0,          0,
      323,    40.60,    58.20,     1.56,     6.31,     0.24,     2.37,          2,          1,          0,          1,          1,          0,          0,         17,          0,          0,          0,          0,          2,          1,          0,          0,
      328,    40.28,    60.67,     1.56,     5.94,     0.22,     2.36,          2,          1,          0,          1,          3,          0,          0,          6,          0,          0,          0,          0,          2,          1,          0,          0,
