# TimeStamp   : 2020-06-08 12:56:32
# Strategy    : MasterCode
# Symbol      : GC
# TimeFrame   : M15
# Date Range  : 2010-01-03 --> 2019-12-31
#
#  Ntrades,  AvgTicks,   WinPerc, PftFactor,    NP/MDD, Expectancy,   Z-score, BOMR_switch, Side_switch,    MyStop, POI_switch, Distance_switch, DOW_switch, Intraday_switch, Filter1L_switch, Filter1S_switch, fractN_long, fractN_short,   epsilon, 
       80,     33.55,     58.75,      2.78,      4.16,      0.73,      3.04,           1,           1,           0,           4,           1,           0,           4,          22,           0,           0,           0,           0, 
      100,     28.36,     56.00,      2.17,      4.33,      0.52,      2.55,           1,           1,           0,           2,           1,           0,           4,           6,           0,           3,           0,           0, 
